      104.300      141.200      347.723       3      66.3649      20.6804
     -30.7885      14.9535      6.75787      0.00000      0.00000
      10     600      2.13861      159.200      24.3000     -74.1000
      115.800      126.700      954.079       2      17.2181      198.836
      35.0780      8.52866      6.52876      0.00000      0.00000
      12     900      2.25694      163.200      23.8000     -72.7000
      117.000      124.100      1039.06       2      17.2181      198.836
      35.0895      8.49043      6.40371      0.00000      0.00000
      13     300      2.47194      170.700      23.3000     -70.1000
      119.300      119.200      1201.55       2      17.2181      198.836
      35.1104      7.70107      6.38675      0.00000      0.00000
      17     300      2.82389      124.900      33.3000     -65.6000
      122.800      169.500      2441.91       3      43.5904      210.476
      18.7271      6.34099      6.27782      0.00000      0.00000
      19     300      3.08833      130.400      31.0000     -62.0000
      125.400      167.600      2868.00       3      43.5904      210.476
      18.7522      5.84293      5.80089      0.00000      0.00000
      21     300      3.43889      138.800      28.2000     -57.0000
      128.700      164.300      3465.16       2      43.5904      210.476
      18.7864      5.07678      5.39370      0.00000      0.00000
      23     300      3.63917      144.100      26.8000     -53.9000
      130.500      162.000      3818.23       2      43.5904      210.476
      18.8064      4.83208      5.57751      0.00000      0.00000
      26     300      3.93972      153.000      25.1000     -49.0000
      133.100      158.000      4357.60       2      43.5904      210.476
      18.8368      4.36960      5.72936      0.00000      0.00000
      28     300      4.13861      159.400      24.2000     -45.5000
      134.700      155.100      4717.15       2      43.5904      210.476
      18.8572      4.21281      5.51544      0.00000      0.00000
      30     600      4.35528      166.800      23.5000     -41.5000
      136.300      151.700      5107.89       2      43.5904      210.476
      18.8795      3.99892      5.49299      0.00000      0.00000
      32     600      4.55500      173.800      23.2000     -37.7000
      137.700      148.500      5464.62       2      43.5904      210.476
      18.9002      3.78327      5.21334      0.00000      0.00000
      34     600      4.75528     -179.000      23.1000     -33.6000
      139.000      145.400      5816.58       2      43.5904      210.476
      18.9209      3.56168      5.84496      0.00000      0.00000
      36     600      4.95667     -171.800      23.3000     -29.3000
      140.100      142.400      6162.35       2      43.5904      210.476
      18.9418      3.40092      5.41778      0.00000      0.00000
      39     600      5.43889     -155.400      24.8000     -18.4000
      142.300      137.000      6943.92       2      43.5904      210.476
      18.9915      3.25129      5.21799      0.00000      0.00000
      41     600      5.73944     -146.300      26.4000     -11.1000
      143.100      135.100      7388.11       2      43.5904      210.476
      19.0220      3.18625      5.36988      0.00000      0.00000
      43     600      6.02306     -138.600      28.3000     -4.10000
      143.500      134.500      7770.08       2      43.5904      210.476
      19.0504      3.14488      5.29193      0.00000      0.00000
      45     600      6.30611     -131.700      30.5000      3.00000
      143.500      134.800      8110.34       3      43.5904      210.476
      19.0781      2.97550      4.75196      0.00000      0.00000
      48     600      6.72194     -123.100      34.1000      13.3000
      142.900      136.400      8526.94       3      43.5904      210.476
      19.1174      2.94817      4.74559      0.00000      0.00000
      50     600      7.02194     -117.700      36.9000      20.5000
      141.900      138.100      8759.98       3      43.5904      210.476
      19.1446      3.19428      4.84833      0.00000      0.00000
      52     900      7.32250     -112.800      39.9000      27.3000
      140.600      140.100      8932.38       3      43.5904      210.476
      19.1708      3.27824      5.05562      0.00000      0.00000
      54     900      7.67500      178.400      23.1000      34.8000
      138.600      143.600      5479.27       2      81.3458      267.248
     -12.7926      3.83432      5.63061      0.00000      0.00000
      56     900      7.97222     -170.900      23.3000      40.7000
      136.600      148.400      4967.16       2      81.3458      267.248
     -12.7618      4.19003      5.46683      0.00000      0.00000
      59     900      8.39278     -156.600      24.6000      48.2000
      133.400      155.200      4232.60       2      81.3458      267.248
     -12.7186      4.65906      6.16743      0.00000      0.00000
      61     900      8.70611     -147.000      26.2000      53.4000
      130.700      159.600      3689.20       2      81.3458      267.248
     -12.6868      5.18770      5.91613      0.00000      0.00000
      63     900      9.00556     -138.800      28.2000      58.0000
      128.000      163.200      3182.38       2      81.3458      267.248
     -12.6569      5.81900      6.04948      0.00000      0.00000
      65     900      9.22250     -133.500      29.9000      61.1000
      125.900      165.400      2827.45       2      81.3458      267.248
     -12.6356      5.98962      6.22849      0.00000      0.00000
      67     900      9.43889     -128.600      31.7000      64.1000
      123.800      167.300      2487.03       3      81.3458      267.248
     -12.6148      6.83057      6.30330      0.00000      0.00000
      70     900      9.75583     -122.300      34.5000      68.2000
      120.600      169.500      2018.88       3      81.3458      267.248
     -12.5852      7.73197      6.43222      0.00000      0.00000
      72     900      9.98861     -118.100      36.7000      71.1000
      118.300      170.800      1702.32       3      81.3458      267.248
     -12.5642      8.45835      6.14811      0.00000      0.00000
      74     900      10.2222     -92.6000      17.2000      73.9000
      115.800      166.500      963.474       2      74.8497      93.5352
     -17.4730      10.3811      6.59447      0.00000      0.00000
      76     600      10.4558     -90.0000      19.7000      76.6000
      113.300      166.600      803.099       2      74.8497      93.5352
     -17.4550      11.3257      6.35682      0.00000      0.00000
      78     600      10.5722     -88.9000      21.0000      77.9000
      112.100      166.700      728.648       2      74.8497      93.5352
     -17.4462      11.3139      6.35050      0.00000      0.00000
      79     600      10.6719     -87.9000      22.1000      79.0000
      111.000      166.900      667.929       2      74.8497      93.5352
     -17.4387      12.0056      6.21720      0.00000      0.00000
      80     600      10.7725     -87.0000      23.2000      80.1000
      109.900      167.100      609.677       2      74.8497      93.5352
     -17.4313      12.9593      6.39654      0.00000      0.00000
      81     600      10.8889     -86.0000      24.5000      81.4000
      108.700      167.300      546.098       2      74.8497      93.5352
     -17.4228      13.1520      6.76997      0.00000      0.00000
      82     600      11.0056     -85.0000      25.8000      82.6000
      107.400      167.600      486.614       2      74.8497      93.5352
     -17.4145      13.5640      6.56602      0.00000      0.00000
      83     300      11.1083     -84.2000      26.9000      83.7000
      106.300      167.900      437.806       2      74.8497      93.5352
     -17.4072      14.4087      6.74562      0.00000      0.00000
      84     300      11.2061     -83.4000      28.0000      84.7000
      105.200      168.100      394.539       2      74.8497      93.5352
     -17.4004      15.0017      6.75569      0.00000      0.00000
      85     300      11.3056     -82.6000      29.0000      85.8000
      104.200      168.400      353.726       2      74.8497      93.5352
     -17.3936      15.1606      6.32546      0.00000      0.00000
      86     300      11.4044     -81.8000      30.1000      86.8000
      103.100      168.600      316.344       3      74.8497      93.5352
     -17.3870      15.5729      6.65173      0.00000      0.00000
       4     600      1.58944      144.400      26.8000     -80.0000
      109.700      135.600      590.344       2      17.2181      198.836
      35.3527      9.84560      6.41452      0.00000      0.00000
       6     600      1.80639      150.700      25.5000     -77.6000
      112.000      131.700      714.192       2      17.2181      198.836
      35.3732      9.19702      6.44587      0.00000      0.00000
       8     600      2.02361      157.600      24.5000     -75.1000
      114.300      127.300      851.006       2      17.2181      198.836
      35.3940      8.85189      6.18882      0.00000      0.00000
      10     600      2.30667      94.5000      15.5000     -71.8000
      117.300      166.200      1082.79       2      35.2642      181.447
      23.7683      8.02502      6.48699      0.00000      0.00000
      12     600      2.57389      98.5000      12.6000     -68.5000
      120.100      167.000      1290.38       1      35.2642      181.447
      23.7896      7.52928      6.25107      0.00000      0.00000
      14     600      2.77306      102.500      10.5000     -65.9000
      122.100      168.500      1453.12       1      35.2642      181.447
      23.8057      7.20620      6.24348      0.00000      0.00000
      17     600      3.29000      94.3000      15.7000     -58.8000
      127.100      153.100      2192.33       2      46.7231      182.306
      16.4510      6.05797      6.00040      0.00000      0.00000
      19     600      3.50639      97.4000      13.3000     -55.6000
      129.100      153.000      2415.82       1      46.7231      182.306
      16.4687      5.73222      5.95700      0.00000      0.00000
      21     600      3.72333      101.500      11.0000     -52.2000
      131.000      153.700      2638.80       1      46.7231      182.306
      16.4866      5.51595      6.16859      0.00000      0.00000
      23     600      3.93889      107.100      8.70000     -48.6000
      132.800      155.700      2856.82       1      46.7231      182.306
      16.5047      5.15437      5.78552      0.00000      0.00000
      25     600      4.14056      115.000      6.60000     -45.1000
      134.400      160.200      3055.49       1      46.7231      182.306
      16.5217      4.92218      5.98640      0.00000      0.00000
      27     600      4.36083      130.800      4.60000     -41.1000
      136.100      171.800      3264.39       1      46.7231      182.306
      16.5404      4.75251      5.88700      0.00000      0.00000
      30     600      4.84278     -145.600      3.70000     -31.5000
      139.200      114.100      3681.18       1      46.7231      182.306
      16.5815      4.19457      6.29301      0.00000      0.00000
      32     600      5.07861     -121.100      5.60000     -26.4000
      140.400      94.8000      3859.87       1      46.7231      182.306
      16.6016      4.09223      5.59600      0.00000      0.00000
      34     600      5.30667     -109.700      7.90000     -21.2000
      141.400      88.5000      4014.00       1      46.7231      182.306
      16.6209      3.95310      6.07953      0.00000      0.00000
      36     600      5.52222     -103.300      10.2000     -16.2000
      142.200      87.1000      4141.15       1      46.7231      182.306
      16.6390      4.05479      5.63017      0.00000      0.00000
      38     600      5.74056     -98.7000      12.5000     -10.9000
      142.700      87.8000      4250.17       1      46.7231      182.306
      16.6571      3.90248      5.66359      0.00000      0.00000
      40     600      5.95500     -95.3000      14.8000     -5.60000
      143.100      89.7000      4336.71       1      46.7231      182.306
