          42       2  1025.72D0  0.882D0  1.00000D10
       8     900     0.886667      130.200      31.0000     -86.8000
      101.700      143.100      268.928       3      17.2181      198.836
      35.9192      10.9737      6.79356      0.00000      0.00000
      10     600      1.00111      132.800      30.1000     -85.6000
      102.900      141.700      306.104       3      17.2181      198.836
      35.9294      11.1323      6.41823      0.00000      0.00000
      12     300      1.18472      94.5000      15.5000     -83.7000
      104.900      178.200      358.030       2      24.0337      178.715
      30.0997      10.2522      6.11496      0.00000      0.00000
      14     300      1.31833      96.4000      14.0000     -82.2000
      106.400      178.700      409.838       1      24.0337      178.715
      30.1098      9.91309      6.50978      0.00000      0.00000
      16     300      1.48500      87.1000      23.1000     -80.4000
      108.100      167.500      521.100       2      35.2642      181.447
      24.4089      10.1118      6.81145      0.00000      0.00000
      18     300      1.63778      88.5000      21.4000     -78.8000
      109.800      167.200      601.455       2      35.2642      181.447
      24.4202      9.71998      6.77783      0.00000      0.00000
      20     300      1.73556      89.4000      20.4000     -77.7000
      110.800      167.100      656.396       2      35.2642      181.447
      24.4275      9.51700      6.58188      0.00000      0.00000
      22     300      1.85139      90.6000      19.1000     -76.4000
      112.100      167.000      724.894       2      35.2642      181.447
      24.4363      9.44553      6.35325      0.00000      0.00000
      26     300      2.41917      60.8000      31.1000     -69.7000
      118.000      130.500      1232.82       3      53.4985      163.494
      8.77611      8.29982      6.37458      0.00000      0.00000
      28     300      2.61806      61.0000      29.2000     -67.2000
      120.000      128.300      1399.55       2      53.4985      163.494
      8.78739      7.74831      6.19685      0.00000      0.00000
      30     300      2.81889      61.1000      27.3000     -64.6000
      122.000      125.700      1573.25       2      53.4985      163.494
      8.79919      7.52262      6.24800      0.00000      0.00000
      32     300      3.01972      61.0000      25.4000     -61.9000
      124.000      122.900      1750.33       2      53.4985      163.494
      8.81137      6.89096      6.29979      0.00000      0.00000
      35     300      3.40139      60.2000      21.7000     -56.5000
      127.600      116.700      2089.07       2      53.4985      163.494
      8.83547      6.11011      6.78656      0.00000      0.00000
      37     300      3.58972      59.4000      19.9000     -53.6000
      129.300      113.000      2253.95       2      53.4985      163.494
      8.84778      5.97671      6.23618      0.00000      0.00000
      39     300      3.78528      58.2000      18.1000     -50.5000
      130.900      108.700      2421.34       2      53.4985      163.494
      8.86081      5.71732      5.90753      0.00000      0.00000
      42     600      4.10111      55.1000      15.2000     -45.1000
      133.500      100.200      2679.35       2      53.4985      163.494
      8.88235      5.50420      5.73341      0.00000      0.00000
      44     600      4.30250      52.0000      13.4000     -41.5000
      135.000      93.4000      2833.40       1      53.4985      163.494
      8.89636      5.01224      5.73489      0.00000      0.00000
      47     600      4.66806      33.6000      19.0000     -34.4000
      137.500      68.0000      2808.94       2      53.4891      148.482
      4.38160      5.10101      6.08253      0.00000      0.00000
      49     600      4.86861      30.0000      17.9000     -30.3000
      138.600      60.4000      2910.55       2      53.4891      148.482
      4.39341      5.27417      6.10816      0.00000      0.00000
      51     600      5.06889      25.9000      16.9000     -26.0000
      139.700      51.9000      2999.36       2      53.4891      148.482
      4.40535      5.07666      5.94536      0.00000      0.00000
      55     600      5.65222      141.500      33.2000     -12.7000
      141.800      154.200      12552.2       3      72.9635      255.730
     -6.59176      2.54857      5.66799      0.00000      0.00000
      57     600      5.95306      148.900      31.3000     -5.40000
      142.300      154.300      12081.0       3      72.9635      255.730
     -6.56082      2.59672      5.28237      0.00000      0.00000
      59     600      6.23500      156.500      29.9000      1.50000
      142.400      155.000      11570.3       2      72.9635      255.730
     -6.53131      2.59450      4.80159      0.00000      0.00000
      60     600      6.54028      165.300      28.8000      8.90000
      142.100      156.400      10949.5       2      72.9635      255.730
     -6.49893      2.76255      5.59159      0.00000      0.00000
      63     600      6.93528      177.300      28.1000      18.3000
      141.100      159.000      10056.1       2      72.9635      255.730
     -6.45668      2.86946      5.08924      0.00000      0.00000
      65     600      7.21833     -174.000      28.2000      24.7000
      139.900      161.300      9364.31       2      72.9635      255.730
     -6.42632      3.04229      5.39869      0.00000      0.00000
      67     900      7.50306     -165.400      28.7000      30.8000
      138.500      163.800      8634.68       2      72.9635      255.730
     -6.39588      3.29440      5.80815      0.00000      0.00000
      69     900      7.78556     -157.200      29.7000      36.5000
      136.800      166.200      7886.40       2      72.9635      255.730
     -6.36591      3.23995      5.27711      0.00000      0.00000
      72     900      8.20167     -146.200      31.9000      44.3000
      133.800      169.500      6760.27       3      72.9635      255.730
     -6.32245      3.78025      5.55533      0.00000      0.00000
      74     900      8.48528     -139.500      33.8000      49.1000
      131.500      171.400      5990.89       3      72.9635      255.730
     -6.29349      4.14285      5.92013      0.00000      0.00000
      76     900      8.82194     -132.200      36.4000      54.5000
      128.600      173.300      5092.41       3      72.9635      255.730
     -6.26001      4.66316      5.83693      0.00000      0.00000
      78     900      9.14083     -126.100      39.1000      59.2000
      125.700      174.700      4271.88       3      72.9635      255.730
     -6.22936      5.15075      6.28820      0.00000      0.00000
      81     900      9.50083     -165.300      28.8000      64.2000
      122.200      130.500      1648.44       2      69.9674      359.137
     -26.5603      7.66304      6.33210      0.00000      0.00000
      83     900      9.70083     -159.500      29.4000      66.8000
      120.200      133.800      1453.09       2      69.9674      359.137
     -26.5401      8.09017      5.92574      0.00000      0.00000
      85     900      9.90194     -153.900      30.3000      69.3000
      118.200      136.800      1267.13       3      69.9674      359.137
     -26.5199      8.88041      6.59161      0.00000      0.00000
      87     900      10.1017     -148.600      31.3000      71.7000
      116.100      139.700      1094.03       3      69.9674      359.137
     -26.5001      9.45912      6.34620      0.00000      0.00000
      89     900      10.3017     -143.600      32.6000      74.0000
      114.000      142.300      933.305       3      69.9674      359.137
     -26.4804      10.2087      6.25401      0.00000      0.00000
      91     600      10.5672     -137.500      34.4000      77.1000
      111.200      145.400      740.909       3      69.9674      359.137
     -26.4549      10.7729      6.22958      0.00000      0.00000
      92     600      10.6828     -135.000      35.3000      78.4000
      110.000      146.700      665.049       3      69.9674      359.137
     -26.4439      11.0219      6.27651      0.00000      0.00000
      93     600      10.7844     -132.900      36.1000      79.5000
      108.900      147.700      602.365       3      69.9674      359.137
     -26.4344      11.6327      6.36345      0.00000      0.00000
      94     600      10.8861     -130.800      36.9000      80.6000
      107.800      148.600      543.532       3      69.9674      359.137
     -26.4250      12.7159      6.60484      0.00000      0.00000
      95     600      11.0336     -128.000      38.2000      82.2000
      106.200      149.900      465.081       3      69.9674      359.137
     -26.4115      13.0694      6.59240      0.00000      0.00000
