          23       2  1025.72D0  0.882D0  1.00000D10
      12     600     0.983889     -148.400      25.9000     -95.1000
      109.900      53.3000      467.702       2     -34.8146      157.407
      37.5635      12.4161      5.87598      0.00000      0.00000
      17     900      2.26778     -118.900      36.3000     -81.7000
      123.800      37.2000      1055.26       3     -34.8146      157.407
      37.6634      9.87474      5.90642      0.00000      0.00000
      18     900      2.50083     -115.000      38.5000     -79.0000
      126.400      36.0000      1175.31       3     -34.8146      157.407
      37.6798      9.36537      5.78016      0.00000      0.00000
      19     900      2.70028     -111.900      40.5000     -76.6000
      128.500      35.3000      1278.77       3     -34.8146      157.407
      37.6931      9.12672      5.36105      0.00000      0.00000
      20     900      2.93389     -108.500      42.9000     -73.6000
      131.000      34.8000      1399.64       3     -34.8146      157.407
      37.7081      8.72495      5.85929      0.00000      0.00000
      28     600      4.78417      83.9000      39.9000     -41.6000
      148.100      125.500      8558.79       3      64.9690      187.717
     -10.7701      3.20142      4.69591      0.00000      0.00000
      29     600      5.10167      86.8000      36.5000     -33.8000
      150.300      120.500      8508.47       3      64.9690      187.717
     -10.7488      3.04076      4.58385      0.00000      0.00000
      30     600      5.38389      89.5000      33.4000     -26.0000
      151.800      115.600      8406.86       3      64.9690      187.717
     -10.7288      2.88861      4.88808      0.00000      0.00000
      31     600      5.68389      92.7000      30.1000     -17.1000
      153.000      109.800      8242.62       3      64.9690      187.717
     -10.7064      2.93299      5.37936      0.00000      0.00000
      32     600      5.96778      96.1000      27.0000     -8.10000
      153.700      104.200      8036.60       2      64.9690      187.717
     -10.6842      2.94699      5.03974      0.00000      0.00000
      33     600      6.23556      99.7000      24.1000     0.500000
      153.900      99.1000      7800.01       2      64.9690      187.717
     -10.6624      2.95742      5.21736      0.00000      0.00000
      34     900      6.51722      104.100      21.0000      9.70000
      153.600      94.5000      7510.17       2      64.9690      187.717
     -10.6389      3.03864      5.26532      0.00000      0.00000
      35     900      6.78444      109.200      18.2000      18.0000
      152.900      91.2000      7199.77       2      64.9690      187.717
     -10.6159      3.13264      5.07525      0.00000      0.00000
      36     900      7.08417      116.600      15.2000      26.9000
      151.600      89.7000      6815.07       2      64.9690      187.717
     -10.5895      3.17947      5.44414      0.00000      0.00000
      37     900      7.36750      126.100      12.5000      34.6000
      150.000      91.5000      6420.62       1      64.9690      187.717
     -10.5642      3.18703      5.34493      0.00000      0.00000
      38     900      7.65083      139.500      10.2000      41.5000
      148.100      98.0000      6001.29       1      64.9690      187.717
     -10.5385      3.39236      5.45722      0.00000      0.00000
      39     900      7.91889      157.400      8.70000      47.5000
      146.100      109.900      5586.37       1      64.9690      187.717
     -10.5140      3.61618      5.42525      0.00000      0.00000
      51     900      8.25111     -174.600      8.10000      54.2000
      143.200      131.300      5054.68       1      64.9690      187.717
     -10.4835      3.96107      5.59839      0.00000      0.00000
      52     900      8.53444     -151.800      9.00000      59.2000
      140.600      149.000      4592.42       1      64.9690      187.717
     -10.4575      4.16393      5.25653      0.00000      0.00000
      53     900      8.81917     -134.600      10.9000      63.9000
      137.900      161.600      4125.96       1      64.9690      187.717
     -10.4315      4.68649      5.71631      0.00000      0.00000
      54     900      9.17000     -120.300      14.0000      69.1000
      134.400      170.600      3557.49       1      64.9690      187.717
     -10.3999      5.36664      5.45286      0.00000      0.00000
      55     900      9.45167     -112.400      16.8000      72.9000
      131.500      174.700      3113.25       2      64.9690      187.717
     -10.3749      5.81105      5.61827      0.00000      0.00000
      56     900      9.73500     -106.400      19.7000      76.5000
      128.500      177.200      2683.56       2      64.9690      187.717
     -10.3502      6.40210      5.56114      0.00000      0.00000
