           111.0       2  1025.72D0  0.882D0  1.00000D10
       6     600     0.287500      173.400      23.2000     -103.000
      103.600      83.6000      287.291       2     -34.5633      157.884
      37.1563      12.9562      5.81867      0.00000      0.00000
       7     600     0.504444     -178.800      23.1000     -100.900
      105.900      77.9000      353.703       2     -34.5633      157.884
      37.1754      12.6508      6.04296      0.00000      0.00000
       8     900     0.718889     -171.100      23.3000     -98.8000
      108.200      72.2000      428.935       2     -34.5633      157.884
      37.1942      11.8808      6.15547      0.00000      0.00000
       9     900      1.03833     -160.100      24.2000     -95.7000
      111.700      64.3000      557.576       2     -34.5633      157.884
      37.2221      11.0414      5.94944      0.00000      0.00000
      10     900      1.33750     -150.500      25.5000     -92.8000
      114.900      57.8000      694.299       2     -34.5633      157.884
      37.2480      10.3822      5.80271      0.00000      0.00000
      11     900      1.55417     -144.200      26.8000     -90.6000
      117.300      53.7000      801.879       2     -34.5633      157.884
      37.2664      9.79836      5.68877      0.00000      0.00000
      12     900      1.77056     -138.500      28.3000     -88.3000
      119.700      50.1000      915.454       2     -34.5633      157.884
      37.2845      9.22417      5.76454      0.00000      0.00000
      30     600      3.98861      110.700      41.3000     -59.3000
      142.900      170.000      54130.4       3      38.7017      208.232
      3.97573      2.36535      5.72911      0.00000      0.00000
      31     600      4.34639      116.300      37.7000     -52.5000
      146.100      168.800      52413.2       3      38.7017      208.232
      4.00706      2.14816      4.64904      0.00000      0.00000
      32     600      4.63194      121.300      35.0000     -46.4000
      148.500      167.700      50859.9       3      38.7017      208.232
      4.03325      2.07508      4.91397      0.00000      0.00000
      33     600      4.99000      47.2000      35.8000     -37.7000
      151.100      85.0000      5132.07       3      53.4996      148.500
     -9.55530      3.77108      5.46898      0.00000      0.00000
      34     600      5.26917      47.1000      33.6000     -30.1000
      152.800      77.2000      5208.55       3      53.4996      148.500
     -9.54273      3.69747      6.29088      0.00000      0.00000
       8     600     0.291111      177.100      23.1000     -102.800
      103.400      80.1000      280.989       2     -34.8146      157.407
      37.1848      12.2242      6.06156      0.00000      0.00000
       9     600     0.504444     -175.200      23.1000     -100.700
      105.700      74.5000      344.817       2     -34.8146      157.407
      37.2034      11.9857      6.21270      0.00000      0.00000
      10     600     0.738611     -166.900      23.5000     -98.5000
      108.200      68.5000      425.531       2     -34.8146      157.407
      37.2238      11.2545      6.06695      0.00000      0.00000
      11     600     0.954722     -159.600      24.2000     -96.4000
      110.600      63.2000      509.353       2     -34.8146      157.407
      37.2425      11.0274      6.25835      0.00000      0.00000
      12     600      1.15528     -153.100      25.1000     -94.4000
      112.700      58.7000      594.561       2     -34.8146      157.407
      37.2598      10.4960      5.94450      0.00000      0.00000
      15     900      1.61889     -139.800      27.9000     -89.7000
      117.800      50.1000      815.285       2     -34.8146      157.407
      37.2989      9.53463      6.26864      0.00000      0.00000
      16     900      1.87917     -133.400      29.9000     -87.0000
      120.600      46.4000      951.106       2     -34.8146      157.407
      37.3202      9.00040      6.00136      0.00000      0.00000
      18     900      2.25917     -125.200      33.1000     -82.9000
      124.800      42.3000      1160.32       3     -34.8146      157.407
      37.3503      8.44848      6.01816      0.00000      0.00000
      19     900      2.45639     -121.400      34.9000     -80.6000
      126.900      40.8000      1272.35       3     -34.8146      157.407
      37.3653      8.01745      6.05098      0.00000      0.00000
      20     600      2.65528     -117.800      36.8000     -78.3000
      129.100      39.6000      1386.62       3     -34.8146      157.407
      37.3800      7.64928      6.18326      0.00000      0.00000
      21     600      2.85611     -114.500      38.8000     -75.8000
      131.200      38.7000      1502.50       3     -34.8146      157.407
      37.3943      7.41417      6.26203      0.00000      0.00000
      22     600      3.06222     -111.400      40.9000     -73.1000
      133.400      38.2000      1621.04       3     -34.8146      157.407
      37.4085      7.09703      6.27194      0.00000      0.00000
      23     600      3.25889     -108.500      42.9000     -70.5000
      135.400      38.1000      1732.97       3     -34.8146      157.407
      37.4214      6.82614      5.72335      0.00000      0.00000
      24     600      3.45111     -105.900      44.9000     -67.7000
      137.400      38.2000      1840.53       3     -34.8146      157.407
      37.4335      6.71717      6.08347      0.00000      0.00000
      42     600      5.21583      47.1000      33.5000     -31.5000
      152.300      78.6000      5172.76       3      53.4963      148.494
     -9.18078      3.82417      6.48045      0.00000      0.00000
      43     600      5.45583      46.7000      31.6000     -24.5000
      153.500      71.2000      5215.76       3      53.4963      148.494
     -9.16933      3.72344      6.07735      0.00000      0.00000
      44     600      5.72722      46.0000      29.4000     -16.0000
      154.500      62.0000      5229.23       2      53.4963      148.494
     -9.15577      3.55917      5.77763      0.00000      0.00000
      45     600      6.01056      44.9000      27.2000     -6.60000
      155.100      51.5000      5203.89       2      53.4963      148.494
     -9.14096      3.60050      6.24847      0.00000      0.00000
      46     600      6.33750      42.9000      24.7000      4.50000
      155.200      38.4000      5125.76       2      53.4963      148.494
     -9.12313      3.50966      6.27107      0.00000      0.00000
      12     600     0.983889     -148.400      25.9000     -95.1000
      109.900      53.3000      467.702       2     -34.8146      157.407
      37.5635      12.4161      5.87598      0.00000      0.00000
      17     900      2.26778     -118.900      36.3000     -81.7000
      123.800      37.2000      1055.26       3     -34.8146      157.407
      37.6634      9.87474      5.90642      0.00000      0.00000
      18     900      2.50083     -115.000      38.5000     -79.0000
      126.400      36.0000      1175.31       3     -34.8146      157.407
      37.6798      9.36537      5.78016      0.00000      0.00000
      19     900      2.70028     -111.900      40.5000     -76.6000
      128.500      35.3000      1278.77       3     -34.8146      157.407
      37.6931      9.12672      5.36105      0.00000      0.00000
      20     900      2.93389     -108.500      42.9000     -73.6000
      131.000      34.8000      1399.64       3     -34.8146      157.407
      37.7081      8.72495      5.85929      0.00000      0.00000
      28     600      4.78417      83.9000      39.9000     -41.6000
      148.100      125.500      8558.79       3      64.9690      187.717
     -10.7701      3.20142      4.69591      0.00000      0.00000
      29     600      5.10167      86.8000      36.5000     -33.8000
      150.300      120.500      8508.47       3      64.9690      187.717
     -10.7488      3.04076      4.58385      0.00000      0.00000
      30     600      5.38389      89.5000      33.4000     -26.0000
      151.800      115.600      8406.86       3      64.9690      187.717
     -10.7288      2.88861      4.88808      0.00000      0.00000
      31     600      5.68389      92.7000      30.1000     -17.1000
      153.000      109.800      8242.62       3      64.9690      187.717
     -10.7064      2.93299      5.37936      0.00000      0.00000
      32     600      5.96778      96.1000      27.0000     -8.10000
      153.700      104.200      8036.60       2      64.9690      187.717
     -10.6842      2.94699      5.03974      0.00000      0.00000
      33     600      6.23556      99.7000      24.1000     0.500000
      153.900      99.1000      7800.01       2      64.9690      187.717
     -10.6624      2.95742      5.21736      0.00000      0.00000
      34     900      6.51722      104.100      21.0000      9.70000
      153.600      94.5000      7510.17       2      64.9690      187.717
     -10.6389      3.03864      5.26532      0.00000      0.00000
      35     900      6.78444      109.200      18.2000      18.0000
      152.900      91.2000      7199.77       2      64.9690      187.717
     -10.6159      3.13264      5.07525      0.00000      0.00000
      36     900      7.08417      116.600      15.2000      26.9000
      151.600      89.7000      6815.07       2      64.9690      187.717
     -10.5895      3.17947      5.44414      0.00000      0.00000
      37     900      7.36750      126.100      12.5000      34.6000
      150.000      91.5000      6420.62       1      64.9690      187.717
     -10.5642      3.18703      5.34493      0.00000      0.00000
      38     900      7.65083      139.500      10.2000      41.5000
      148.100      98.0000      6001.29       1      64.9690      187.717
     -10.5385      3.39236      5.45722      0.00000      0.00000
      39     900      7.91889      157.400      8.70000      47.5000
      146.100      109.900      5586.37       1      64.9690      187.717
     -10.5140      3.61618      5.42525      0.00000      0.00000
      51     900      8.25111     -174.600      8.10000      54.2000
      143.200      131.300      5054.68       1      64.9690      187.717
     -10.4835      3.96107      5.59839      0.00000      0.00000
      52     900      8.53444     -151.800      9.00000      59.2000
