          37       2  1025.72D0  0.882D0  1.00000D10
       5     600      1.00417     -142.200      27.3000     -94.2000
      109.400      48.0000      445.203       2     -34.8146      157.407
      37.6402      12.5121      6.23740      0.00000      0.00000
       6     600      1.20417     -137.000      28.7000     -92.2000
      111.600      44.8000      520.265       2     -34.8146      157.407
      37.6561      12.3864      6.31711      0.00000      0.00000
       7    1200      1.40417     -132.200      30.3000     -90.2000
      113.800      42.0000      600.869       3     -34.8146      157.407
      37.6717      11.8782      6.25402      0.00000      0.00000
      11     600      1.87083     -122.500      34.4000     -85.3000
      118.900      37.2000      806.291       3     -34.8146      157.407
      37.7067      11.0640      6.08109      0.00000      0.00000
      12     300      2.07139     -118.900      36.3000     -83.1000
      121.100      35.7000      900.106       3     -34.8146      157.407
      37.7211      10.5161      6.44043      0.00000      0.00000
      13     300      2.27111     -115.500      38.2000     -80.9000
      123.200      34.6000      995.646       3     -34.8146      157.407
      37.7348      10.1430      5.94391      0.00000      0.00000
      14     300      2.47306     -112.300      40.2000     -78.6000
      125.400      33.8000      1093.54       3     -34.8146      157.407
      37.7482      9.78963      6.05601      0.00000      0.00000
      15     300      2.67083     -109.400      42.3000     -76.2000
      127.500      33.2000      1189.87       3     -34.8146      157.407
      37.7608      9.59584      6.21235      0.00000      0.00000
      16     300      2.87083     -106.600      44.3000     -73.7000
      129.600      33.0000      1286.91       3     -34.8146      157.407
      37.7729      9.51240      5.99520      0.00000      0.00000
      23     600      4.60444      84.0000      39.8000     -45.0000
      146.000      129.000      8564.79       3      64.9690      187.717
     -9.41557      3.36933      6.46514      0.00000      0.00000
      24     600      4.85444      86.3000      37.0000     -39.3000
      147.800      125.600      8585.18       3      64.9690      187.717
     -9.39883      3.22317      5.82115      0.00000      0.00000
      25     600      5.22139      89.9000      33.0000     -30.0000
      150.100      119.900      8532.71       3      64.9690      187.717
     -9.37269      3.20973      5.53124      0.00000      0.00000
      26     600      5.57194      93.7000      29.1000     -20.2000
      151.700      113.900      8394.14       2      64.9690      187.717
     -9.34610      3.21160      5.82927      0.00000      0.00000
      27     600      5.93778      98.3000      25.2000     -9.00000
      152.700      107.300      8162.31       2      64.9690      187.717
     -9.31687      3.14680      5.40006      0.00000      0.00000
      28     600      6.37111      105.000      20.5000      4.70000
      152.900      100.300      7781.29       2      64.9690      187.717
     -9.28055      3.09976      5.53160      0.00000      0.00000
      40     600      6.78861      113.900      16.2000      17.6000
      152.000      96.4000      7316.66       2      64.9690      187.717
     -9.24415      3.28846      5.58218      0.00000      0.00000
      41     600      7.20472      127.400      12.2000      29.4000
      150.200      98.0000      6772.17       1      64.9690      187.717
     -9.20683      3.44230      5.83828      0.00000      0.00000
      42     900      7.58778      147.700      9.40000      39.1000
      147.800      108.600      6212.42       1      64.9690      187.717
     -9.17187      3.59863      5.60322      0.00000      0.00000
      43    1200      7.97250      178.300      8.10000      47.7000
      144.900      130.600      5607.56       1      64.9690      187.717
     -9.13645      3.90949      5.63685      0.00000      0.00000
      44    1200      8.27111     -156.700      8.70000      53.5000
      142.400      149.800      5117.84       1      64.9690      187.717
     -9.10894      4.04791      5.69134      0.00000      0.00000
      45    1200      8.55528     -138.100      10.4000      58.6000
      139.800      163.300      4642.54       1      64.9690      187.717
     -9.08287      4.55267      6.13660      0.00000      0.00000
      46    1200      8.85472     -124.500      12.9000      63.5000
      137.000      172.100      4139.02       1      64.9690      187.717
     -9.05565      4.77810      5.83270      0.00000      0.00000
