          12       2  1025.72D0  0.882D0  1.00000D10
       6     600     0.287500      173.400      23.2000     -103.000
      103.600      83.6000      287.291       2     -34.5633      157.884
      37.1563      12.9562      5.81867      0.00000      0.00000
       7     600     0.504444     -178.800      23.1000     -100.900
      105.900      77.9000      353.703       2     -34.5633      157.884
      37.1754      12.6508      6.04296      0.00000      0.00000
       8     900     0.718889     -171.100      23.3000     -98.8000
      108.200      72.2000      428.935       2     -34.5633      157.884
      37.1942      11.8808      6.15547      0.00000      0.00000
       9     900      1.03833     -160.100      24.2000     -95.7000
      111.700      64.3000      557.576       2     -34.5633      157.884
      37.2221      11.0414      5.94944      0.00000      0.00000
      10     900      1.33750     -150.500      25.5000     -92.8000
      114.900      57.8000      694.299       2     -34.5633      157.884
      37.2480      10.3822      5.80271      0.00000      0.00000
      11     900      1.55417     -144.200      26.8000     -90.6000
      117.300      53.7000      801.879       2     -34.5633      157.884
      37.2664      9.79836      5.68877      0.00000      0.00000
      12     900      1.77056     -138.500      28.3000     -88.3000
      119.700      50.1000      915.454       2     -34.5633      157.884
      37.2845      9.22417      5.76454      0.00000      0.00000
      30     600      3.98861      110.700      41.3000     -59.3000
      142.900      170.000      54130.4       3      38.7017      208.232
      3.97573      2.36535      5.72911      0.00000      0.00000
      31     600      4.34639      116.300      37.7000     -52.5000
      146.100      168.800      52413.2       3      38.7017      208.232
      4.00706      2.14816      4.64904      0.00000      0.00000
      32     600      4.63194      121.300      35.0000     -46.4000
      148.500      167.700      50859.9       3      38.7017      208.232
      4.03325      2.07508      4.91397      0.00000      0.00000
      33     600      4.99000      47.2000      35.8000     -37.7000
      151.100      85.0000      5132.07       3      53.4996      148.500
     -9.55530      3.77108      5.46898      0.00000      0.00000
      34     600      5.26917      47.1000      33.6000     -30.1000
      152.800      77.2000      5208.55       3      53.4996      148.500
     -9.54273      3.69747      6.29088      0.00000      0.00000
