          19       2  1025.72D0  0.882D0  1.00000D10
       8     600     0.291111      177.100      23.1000     -102.800
      103.400      80.1000      280.989       2     -34.8146      157.407
      37.1848      12.2242      6.06156      0.00000      0.00000
       9     600     0.504444     -175.200      23.1000     -100.700
      105.700      74.5000      344.817       2     -34.8146      157.407
      37.2034      11.9857      6.21270      0.00000      0.00000
      10     600     0.738611     -166.900      23.5000     -98.5000
      108.200      68.5000      425.531       2     -34.8146      157.407
      37.2238      11.2545      6.06695      0.00000      0.00000
      11     600     0.954722     -159.600      24.2000     -96.4000
      110.600      63.2000      509.353       2     -34.8146      157.407
      37.2425      11.0274      6.25835      0.00000      0.00000
      12     600      1.15528     -153.100      25.1000     -94.4000
      112.700      58.7000      594.561       2     -34.8146      157.407
      37.2598      10.4960      5.94450      0.00000      0.00000
      15     900      1.61889     -139.800      27.9000     -89.7000
      117.800      50.1000      815.285       2     -34.8146      157.407
      37.2989      9.53463      6.26864      0.00000      0.00000
      16     900      1.87917     -133.400      29.9000     -87.0000
      120.600      46.4000      951.106       2     -34.8146      157.407
      37.3202      9.00040      6.00136      0.00000      0.00000
      18     900      2.25917     -125.200      33.1000     -82.9000
      124.800      42.3000      1160.32       3     -34.8146      157.407
      37.3503      8.44848      6.01816      0.00000      0.00000
      19     900      2.45639     -121.400      34.9000     -80.6000
      126.900      40.8000      1272.35       3     -34.8146      157.407
      37.3653      8.01745      6.05098      0.00000      0.00000
      20     600      2.65528     -117.800      36.8000     -78.3000
      129.100      39.6000      1386.62       3     -34.8146      157.407
      37.3800      7.64928      6.18326      0.00000      0.00000
      21     600      2.85611     -114.500      38.8000     -75.8000
      131.200      38.7000      1502.50       3     -34.8146      157.407
      37.3943      7.41417      6.26203      0.00000      0.00000
      22     600      3.06222     -111.400      40.9000     -73.1000
      133.400      38.2000      1621.04       3     -34.8146      157.407
      37.4085      7.09703      6.27194      0.00000      0.00000
      23     600      3.25889     -108.500      42.9000     -70.5000
      135.400      38.1000      1732.97       3     -34.8146      157.407
      37.4214      6.82614      5.72335      0.00000      0.00000
      24     600      3.45111     -105.900      44.9000     -67.7000
      137.400      38.2000      1840.53       3     -34.8146      157.407
      37.4335      6.71717      6.08347      0.00000      0.00000
      42     600      5.21583      47.1000      33.5000     -31.5000
      152.300      78.6000      5172.76       3      53.4963      148.494
     -9.18078      3.82417      6.48045      0.00000      0.00000
      43     600      5.45583      46.7000      31.6000     -24.5000
      153.500      71.2000      5215.76       3      53.4963      148.494
     -9.16933      3.72344      6.07735      0.00000      0.00000
      44     600      5.72722      46.0000      29.4000     -16.0000
      154.500      62.0000      5229.23       2      53.4963      148.494
     -9.15577      3.55917      5.77763      0.00000      0.00000
      45     600      6.01056      44.9000      27.2000     -6.60000
      155.100      51.5000      5203.89       2      53.4963      148.494
     -9.14096      3.60050      6.24847      0.00000      0.00000
      46     600      6.33750      42.9000      24.7000      4.50000
      155.200      38.4000      5125.76       2      53.4963      148.494
     -9.12313      3.50966      6.27107      0.00000      0.00000
