          20       2  1025.72D0  0.882D0  1.00000D10
      39     900      6.75833      106.500      44.4000      16.1000
      151.200      90.4000      4896.38       3      82.6071      318.761
     -27.4212      4.19419      5.83478      0.00000      0.00000
      40     900      7.04250      110.500      41.5000      24.3000
      150.200      86.3000      4648.70       3      82.6071      318.761
     -27.4000      4.22649      5.23452      0.00000      0.00000
      41     900      7.34167      115.100      38.5000      32.2000
      148.600      82.9000      4369.70       3      82.6071      318.761
     -27.3763      4.19343      5.39958      0.00000      0.00000
      42     900      7.62500      119.900      35.7000      39.1000
      146.800      80.8000      4091.00       3      82.6071      318.761
     -27.3529      4.46581      5.79093      0.00000      0.00000
      43     900      7.90806      125.300      33.1000      45.4000
      144.700      79.9000      3801.38       3      82.6071      318.761
     -27.3285      4.67640      5.67419      0.00000      0.00000
      44     900      8.20833      131.700      30.5000      51.4000
      142.200      80.3000      3485.25       3      82.6071      318.761
     -27.3017      4.94907      5.39441      0.00000      0.00000
      45     900      8.49194      138.500      28.3000      56.5000
      139.700      82.0000      3181.58       2      82.6071      318.761
     -27.2756      5.39117      5.59522      0.00000      0.00000
      46     900      8.84194      148.100      26.0000      62.3000
      136.400      85.8000      2804.99       2      82.6071      318.761
     -27.2427      6.23672      5.78547      0.00000      0.00000
      47     900      9.12500      156.900      24.6000      66.5000
      133.600      90.3000      2503.00       2      82.6071      318.761
     -27.2155      6.68411      5.65569      0.00000      0.00000
      48     900      9.40833      166.400      23.6000      70.5000
      130.700      95.9000      2206.73       2      82.6071      318.761
     -27.1880      6.95970      5.47662      0.00000      0.00000
      51     900      10.1428     -167.400      23.5000      79.6000
      123.000      113.000      1491.10       2      82.6071      318.761
     -27.1163      8.89768      6.16917      0.00000      0.00000
      52     900      10.3589     -160.000      24.2000      82.0000
      120.600      118.000      1300.99       2      82.6071      318.761
     -27.0953      9.48274      6.15535      0.00000      0.00000
      53     900      10.5586     -153.600      25.0000      84.2000
      118.500      122.200      1135.66       2      82.6071      318.761
     -27.0760      10.1122      6.20765      0.00000      0.00000
      54     900      10.7583     -147.500      26.1000      86.3000
      116.300      126.100      981.225       2      82.6071      318.761
     -27.0569      11.1799      6.05166      0.00000      0.00000
      55     900      10.9586     -141.900      27.4000      88.4000
      114.100      129.700      838.090       2      82.6071      318.761
     -27.0380      12.0857      6.14745      0.00000      0.00000
      56     900      11.1583     -136.700      28.8000      90.5000
      111.900      132.800      707.708       2      82.6071      318.761
     -27.0194      12.9890      6.22743      0.00000      0.00000
      57     900      11.3586     -132.000      30.4000      92.5000
      109.700      135.500      589.855       3      82.6071      318.761
     -27.0010      13.9814      6.00932      0.00000      0.00000
      58     600      11.5586     -127.600      32.1000      94.5000
      107.500      137.900      485.379       3      82.6071      318.761
     -26.9830      15.2775      6.07599      0.00000      0.00000
      59     600      11.7583     -123.600      33.9000      96.5000
      105.400      139.900      394.370       3      82.6071      318.761
     -26.9655      16.3121      6.24935      0.00000      0.00000
      71     600      11.9917     -119.300      36.0000      98.8000
      102.800      141.900      304.839       3      82.6071      318.761
     -26.9455      16.6581      6.11580      0.00000      0.00000
