          45       2  1025.72D0  0.882D0  1.00000D10
       7     300      2.37167     -77.1000      14.7000     -55.9000
      105.600      21.2000      327.069       1      38.0456      69.8382
     -6.49499      8.35147      6.14644      0.00000      0.00000
       8     300      2.46361     -77.0000      15.7000     -54.8000
      106.400      22.2000      350.744       2      38.0456      69.8382
     -6.48948      8.15084      6.12781      0.00000      0.00000
       9     600      2.62056     -76.7000      17.4000     -52.9000
      107.800      23.8000      392.684       2      38.0456      69.8382
     -6.48019      8.19781      5.84807      0.00000      0.00000
      11     600      2.72806     -76.5000      18.5000     -51.6000
      108.800      24.9000      422.343       2      38.0456      69.8382
     -6.47393      7.70599      6.09918      0.00000      0.00000
      12     300      2.87833     -76.0000      20.1000     -49.7000
      110.000      26.4000      464.787       2      38.0456      69.8382
     -6.46531      7.44833      5.97792      0.00000      0.00000
      13     300      2.97972     -75.7000      21.2000     -48.4000
      110.900      27.4000      493.907       2      38.0456      69.8382
     -6.45960      7.24570      6.33462      0.00000      0.00000
      17     300      3.23556     -74.8000      23.9000     -45.0000
      112.900      29.8000      568.304       2      38.0456      69.8382
     -6.44556      7.33206      5.51179      0.00000      0.00000
      18     300      3.32917     -74.4000      24.9000     -43.7000
      113.600      30.7000      595.602       2      38.0456      69.8382
     -6.44057      7.25304      6.34755      0.00000      0.00000
      19     300      3.41806     -74.1000      25.9000     -42.5000
      114.300      31.6000      621.440       2      38.0456      69.8382
     -6.43591      7.16036      5.14554      0.00000      0.00000
      20     300      3.50750     -73.7000      26.8000     -41.2000
      114.900      32.5000      647.288       2      38.0456      69.8382
     -6.43130      7.11485      5.77591      0.00000      0.00000
      21     300      3.59667     -73.3000      27.8000     -40.0000
      115.600      33.4000      672.835       2      38.0456      69.8382
     -6.42679      7.01743      5.54879      0.00000      0.00000
      23     300      3.70500     -72.9000      28.9000     -38.4000
      116.300      34.5000      703.481       2      38.0456      69.8382
     -6.42142      6.68902      5.83109      0.00000      0.00000
      24     300      3.79917     -72.4000      29.9000     -37.0000
      117.000      35.4000      729.685       2      38.0456      69.8382
     -6.41685      6.78284      5.05056      0.00000      0.00000
      25     300      3.89250     -72.0000      30.9000     -35.6000
      117.600      36.4000      755.183       3      38.0456      69.8382
     -6.41242      6.81136      5.14976      0.00000      0.00000
      26     300      3.98861     -71.6000      31.9000     -34.2000
      118.200      37.4000      780.872       3      38.0456      69.8382
     -6.40797      6.57541      5.19017      0.00000      0.00000
      27     300      4.08583     -71.1000      32.9000     -32.7000
      118.800      38.4000      806.199       3      38.0456      69.8382
     -6.40357      6.81632      5.63831      0.00000      0.00000
      31     300      4.32306      68.1000      39.1000     -29.0000
      120.100      97.1000      1168.96       3     -17.3348      113.373
     -24.9479      6.09760      5.69114      0.00000      0.00000
      32     300      4.49750      69.0000      37.3000     -26.3000
      121.000      95.2000      1221.53       3     -17.3348      113.373
     -24.9397      5.74052      5.08704      0.00000      0.00000
      33     300      4.67083      69.8000      35.6000     -23.4000
      121.800      93.3000      1268.72       3     -17.3348      113.373
     -24.9311      5.52783      5.63101      0.00000      0.00000
      34     300      4.84361      70.7000      33.8000     -20.6000
      122.500      91.2000      1310.35       3     -17.3348      113.373
     -24.9222      5.40028      5.68347      0.00000      0.00000
      35     300      5.02167      71.5000      31.9000     -17.5000
      123.100      89.1000      1347.23       3     -17.3348      113.373
     -24.9126      5.26566      5.44509      0.00000      0.00000
      39     300      5.71500      74.5000      24.6000     -5.40000
      124.600      80.0000      1427.69       2     -17.3348      113.373
     -24.8720      5.01538      5.48611      0.00000      0.00000
      40     300      5.92694      75.3000      22.4000     -1.70000
      124.800      77.0000      1431.32       2     -17.3348      113.373
     -24.8586      5.01593      5.54545      0.00000      0.00000
      41     600      6.10083      75.9000      20.5000      1.40000
      124.800      74.5000      1426.89       2     -17.3348      113.373
     -24.8473      5.01878      5.96681      0.00000      0.00000
      43     600      6.28389      76.4000      18.6000      4.70000
      124.700      71.7000      1415.09       2     -17.3348      113.373
     -24.8352      5.09627      5.50489      0.00000      0.00000
      44     600      6.46056      76.8000      16.7000      7.80000
      124.500      69.0000      1396.91       2     -17.3348      113.373
     -24.8232      5.09100      5.93867      0.00000      0.00000
      45     600      6.63333      77.1000      14.9000      10.9000
      124.200      66.2000      1372.85       1     -17.3348      113.373
     -24.8114      5.08150      5.91688      0.00000      0.00000
      49     600      7.06667      76.7000      10.2000      18.4000
      123.000      58.3000      1286.92       1     -17.3348      113.373
     -24.7809      5.48166      5.64076      0.00000      0.00000
      50     600      7.25167      75.6000      8.20000      21.5000
      122.300      54.1000      1240.03       1     -17.3348      113.373
     -24.7676      5.50639      5.51156      0.00000      0.00000
      51     600      7.43250      73.3000      6.30000      24.5000
      121.500      48.8000      1188.96       1     -17.3348      113.373
     -24.7545      5.49428      5.84635      0.00000      0.00000
      52     600      7.61667      68.0000      4.40000      27.5000
      120.600      40.6000      1132.17       1     -17.3348      113.373
     -24.7411      5.81095      5.26539      0.00000      0.00000
      54     600      7.80389      53.5000      2.60000      30.4000
      119.700      23.1000      1070.12       1     -17.3348      113.373
     -24.7274      6.12695      5.96950      0.00000      0.00000
      57     600      8.16944     -49.9000      2.40000      36.0000
      117.500      85.9000      939.084       1     -17.3348      113.373
     -24.7006      6.48694      5.74396      0.00000      0.00000
      58     600      8.34333     -66.2000      4.00000      38.6000
      116.300      104.800      873.489       1     -17.3348      113.373
     -24.6879      6.79633      6.00720      0.00000      0.00000
      60     600      8.53833     -72.8000      6.00000      41.3000
      115.000      114.100      798.520       1     -17.3348      113.373
     -24.6737      7.07339      5.60078      0.00000      0.00000
      61     600      8.72306     -75.4000      8.00000      43.9000
      113.600      119.300      726.968       1     -17.3348      113.373
     -24.6603      7.52569      5.63818      0.00000      0.00000
      62     600      8.94583     -76.7000      10.4000      46.9000
      111.900      123.600      641.198       1     -17.3348      113.373
     -24.6444      7.72396      5.66421      0.00000      0.00000
      63     600      9.03889     -77.0000      11.4000      48.1000
      111.100      125.100      605.871       1     -17.3348      113.373
     -24.6377      7.81468      5.67097      0.00000      0.00000
      64     600      9.13028     -77.1000      12.3000      49.3000
      110.400      126.400      571.617       1     -17.3348      113.373
     -24.6313      8.20892      6.04218      0.00000      0.00000
      65     600      9.24083     -77.2000      13.5000      50.7000
      109.400      127.900      530.909       1     -17.3348      113.373
     -24.6235      8.29478      5.45571      0.00000      0.00000
      66     600      9.33361     -77.1000      14.5000      51.9000
      108.600      129.000      497.487       1     -17.3348      113.373
     -24.6170      8.44932      5.74077      0.00000      0.00000
      68     300      9.44194     -77.0000      15.7000      53.3000
      107.700      130.200      459.461       2     -17.3348      113.373
     -24.6096      8.94947      6.26898      0.00000      0.00000
      69     300      9.53222     -76.8000      16.6000      54.4000
      106.900      131.200      428.707       2     -17.3348      113.373
     -24.6034      8.75236      5.51441      0.00000      0.00000
      70     300      9.63750     -76.6000      17.8000      55.6000
      106.000      132.300      394.043       2     -17.3348      113.373
     -24.5962      9.52424      5.97440      0.00000      0.00000
      73     300      9.86083     -76.0000      20.2000      58.3000
      103.900      134.300      325.392       2     -17.3348      113.373
     -24.5813      9.77278      5.79659      0.00000      0.00000
