          14       2  1025.72D0  0.882D0  1.00000D10
       5     300      4.07556     -73.2000      28.0000     -32.2000
      116.500      41.0000      726.902       2      38.0456      69.8382
     -6.61115      7.93702      5.25357      0.00000      0.00000
       6     300      4.17861     -72.8000      29.0000     -30.7000
      117.100      42.1000      752.481       2      38.0456      69.8382
     -6.60595      7.82355      5.35446      0.00000      0.00000
       7     300      4.29361     -72.3000      30.3000     -29.0000
      117.700      43.3000      780.087       3      38.0456      69.8382
     -6.60028      7.69222      6.06564      0.00000      0.00000
       8     600      4.40611     -71.8000      31.4000     -27.2000
      118.300      44.5000      806.027       3      38.0456      69.8382
     -6.59489      7.63033      5.36627      0.00000      0.00000
      10     600      4.51389     -71.3000      32.5000     -25.5000
      118.800      45.7000      829.796       3      38.0456      69.8382
     -6.58985      7.56319      5.34637      0.00000      0.00000
      11     600      4.70667     -70.3000      34.5000     -22.5000
      119.700      47.8000      869.396       3      38.0456      69.8382
     -6.58120      7.25780      5.88633      0.00000      0.00000
      12     600      4.81806     -69.8000      35.7000     -20.7000
      120.100      49.1000      890.428       3      38.0456      69.8382
     -6.57641      7.53891      5.39131      0.00000      0.00000
      14     600      4.93528     -69.2000      36.9000     -18.8000
      120.600      50.4000      910.990       3      38.0456      69.8382
     -6.57154      7.63176      5.30714      0.00000      0.00000
      20     600      5.46556      101.400      40.8000     -9.90000
      122.000      111.300      1541.23       3     -36.4175      108.415
     -24.8356      6.23382      5.58811      0.00000      0.00000
      22     300      5.65500      103.900      38.8000     -6.70000
      122.300      110.600      1546.03       3     -36.4175      108.415
     -24.8222      6.25193      5.47753      0.00000      0.00000
      23     300      5.83167      106.300      36.9000     -3.70000
      122.500      110.000      1542.74       3     -36.4175      108.415
     -24.8091      6.03811      5.43925      0.00000      0.00000
      25     300      6.02028      109.100      34.9000    -0.400000
      122.600      109.600      1531.06       3     -36.4175      108.415
     -24.7947      6.08897      5.76807      0.00000      0.00000
      26     300      6.19806      112.000      33.1000      2.60000
      122.500      109.300      1512.51       3     -36.4175      108.415
     -24.7808      6.04333      5.67962      0.00000      0.00000
      27     300      6.37028      114.900      31.4000      5.60000
      122.400      109.300      1487.78       3     -36.4175      108.415
     -24.7669      6.08687      5.72554      0.00000      0.00000
