          43       2  1025.72D0  0.882D0  1.00000D10
      10     300      2.05500     -76.8000      10.6000     -59.5000
      102.400      17.4000      245.612       1      38.0456      69.8382
     -6.53430      8.52520      5.70551      0.00000      0.00000
      11     300      2.15028     -77.1000      11.7000     -58.4000
      103.300      18.7000      266.676       1      38.0456      69.8382
     -6.52839      8.53432      5.86154      0.00000      0.00000
      12     300      2.24083     -77.2000      12.6000     -57.3000
      104.100      19.9000      287.666       1      38.0456      69.8382
     -6.52280      8.25961      5.96591      0.00000      0.00000
      13     300      2.33389     -77.2000      13.6000     -56.2000
      105.000      21.0000      310.138       1      38.0456      69.8382
     -6.51711      8.37020      6.21767      0.00000      0.00000
      14     300      2.44056     -77.1000      14.8000     -54.9000
      105.900      22.2000      336.917       1      38.0456      69.8382
     -6.51063      8.09232      6.33114      0.00000      0.00000
      15     300      2.53556     -77.0000      15.8000     -53.8000
      106.800      23.2000      361.584       2      38.0456      69.8382
     -6.50493      8.23830      6.16426      0.00000      0.00000
      16     300      2.62694     -76.8000      16.8000     -52.7000
      107.600      24.2000      385.952       2      38.0456      69.8382
     -6.49949      8.01511      5.74651      0.00000      0.00000
      18     300      2.73056     -76.6000      17.9000     -51.4000
      108.500      25.2000      414.231       2      38.0456      69.8382
     -6.49339      7.88422      6.27075      0.00000      0.00000
      19     300      2.82694     -76.4000      18.9000     -50.2000
      109.300      26.2000      441.061       2      38.0456      69.8382
     -6.48778      7.95726      6.04315      0.00000      0.00000
      21     300      3.02611     -75.8000      21.0000     -47.6000
      110.900      28.2000      497.679       2      38.0456      69.8382
     -6.47642      7.51309      5.61306      0.00000      0.00000
      22     300      3.12278     -75.4000      22.0000     -46.3000
      111.700      29.1000      525.533       2      38.0456      69.8382
     -6.47102      7.70129      6.01696      0.00000      0.00000
      23     300      3.23583     -75.0000      23.2000     -44.8000
      112.600      30.2000      558.252       2      38.0456      69.8382
     -6.46481      7.50402      5.80295      0.00000      0.00000
      25     300      3.34250     -74.6000      24.4000     -43.4000
      113.400      31.3000      589.136       2      38.0456      69.8382
     -6.45905      7.16097      5.86175      0.00000      0.00000
      26     300      3.43722     -74.3000      25.4000     -42.1000
      114.100      32.2000      616.472       2      38.0456      69.8382
     -6.45403      7.02625      5.44449      0.00000      0.00000
      27     300      3.54139     -73.8000      26.5000     -40.6000
      114.900      33.2000      646.334       2      38.0456      69.8382
     -6.44860      7.25777      5.86596      0.00000      0.00000
      29     300      3.64639     -73.4000      27.6000     -39.1000
      115.600      34.3000      676.116       2      38.0456      69.8382
     -6.44324      7.28622      6.34324      0.00000      0.00000
      30     300      3.73833     -73.0000      28.6000     -37.8000
      116.200      35.2000      701.846       2      38.0456      69.8382
     -6.43865      7.01978      6.04564      0.00000      0.00000
      31     300      3.83167     -72.6000      29.5000     -36.4000
      116.800      36.2000      727.558       2      38.0456      69.8382
     -6.43407      7.09696      5.72951      0.00000      0.00000
      32     300      3.93083     -72.1000      30.6000     -35.0000
      117.500      37.2000      754.346       3      38.0456      69.8382
     -6.42932      7.05844      5.52765      0.00000      0.00000
      36     300      4.24750     -70.7000      33.9000     -30.1000
      119.300      40.5000      835.303       3      38.0456      69.8382
     -6.41490      6.70588      5.86873      0.00000      0.00000
      37     300      4.34833     -70.2000      34.9000     -28.6000
      119.900      41.6000      859.333       3      38.0456      69.8382
     -6.41056      6.86015      6.29073      0.00000      0.00000
      38     300      4.44389     -69.7000      35.9000     -27.1000
      120.400      42.6000      881.209       3      38.0456      69.8382
     -6.40657      6.26872      5.36636      0.00000      0.00000
      39     300      4.54361     -69.2000      36.9000     -25.5000
      120.900      43.7000      903.043       3      38.0456      69.8382
     -6.40253      6.60207      5.64626      0.00000      0.00000
      40     300      4.64028     -68.7000      37.9000     -23.9000
      121.300      44.8000      923.179       3      38.0456      69.8382
     -6.39874      6.86627      5.75374      0.00000      0.00000
      44     300      4.89250      70.6000      33.9000     -19.7000
      122.300      90.3000      1289.32       3     -17.3348      113.373
     -25.1512      4.68868      4.74865      0.00000      0.00000
      45     300      5.02417      71.2000      32.6000     -17.5000
      122.800      88.7000      1315.54       3     -17.3348      113.373
     -25.1442      4.61080      5.77839      0.00000      0.00000
      63     300      7.15806      76.6000      9.90000      19.8000
      122.400      56.8000      1236.06       1     -17.3348      113.373
     -25.0077      5.37019      5.70339      0.00000      0.00000
      64     300      7.33528      75.4000      8.00000      22.7000
      121.700      52.7000      1189.67       1     -17.3348      113.373
     -24.9950      5.46190      5.63589      0.00000      0.00000
      68     300      8.02778      14.6000      1.60000      33.7000
      118.100      19.0000      968.630       1     -17.3348      113.373
     -24.9447      6.49056      5.74231      0.00000      0.00000
      69     300      8.20972     -45.5000      2.20000      36.4000
      116.900      81.9000      902.907       1     -17.3348      113.373
     -24.9314      6.75524      5.99976      0.00000      0.00000
      70     300      8.39722     -65.6000      3.90000      39.1000
      115.700      104.700      833.252       1     -17.3348      113.373
     -24.9177      7.02201      5.54547      0.00000      0.00000
      71     600      8.57028     -72.0000      5.70000      41.6000
      114.500      113.600      767.932       1     -17.3348      113.373
     -24.9051      7.03833      5.54243      0.00000      0.00000
      73     600      8.76833     -75.2000      7.80000      44.3000
      113.000      119.500      692.844       1     -17.3348      113.373
     -24.8908      7.57733      5.51820      0.00000      0.00000
      74     600      8.86556     -76.0000      8.80000      45.6000
      112.200      121.600      656.149       1     -17.3348      113.373
     -24.8838      7.55529      6.15074      0.00000      0.00000
      77     600      9.11000     -77.0000      11.4000      48.8000
      110.300      125.800      565.363       1     -17.3348      113.373
     -24.8664      8.03125      5.64324      0.00000      0.00000
      78     600      9.20361     -77.1000      12.4000      50.0000
      109.500      127.100      531.459       1     -17.3348      113.373
     -24.8598      8.51285      5.99078      0.00000      0.00000
      80     600      9.33778     -77.2000      13.9000      51.7000
      108.400      128.900      484.014       1     -17.3348      113.373
     -24.8504      8.63234      5.47365      0.00000      0.00000
      81     600      9.42833     -77.1000      14.8000      52.8000
      107.600      129.900      452.895       1     -17.3348      113.373
     -24.8442      9.13148      5.92128      0.00000      0.00000
      82     300      9.52417     -77.0000      15.9000      54.0000
      106.700      131.000      420.874       2     -17.3348      113.373
     -24.8376      9.27167      5.40059      0.00000      0.00000
      83     300      9.61528     -76.8000      16.8000      55.1000
      105.900      131.900      391.397       2     -17.3348      113.373
     -24.8314      9.50925      5.45462      0.00000      0.00000
      84     300      9.71917     -76.6000      17.9000      56.3000
      105.000      132.900      359.052       2     -17.3348      113.373
     -24.8244      9.71349      6.03110      0.00000      0.00000
      85     300      9.81667     -76.3000      19.0000      57.5000
      104.100      133.800      330.031       2     -17.3348      113.373
     -24.8178      10.1070      5.68635      0.00000      0.00000
      86     300      9.90528     -76.1000      19.9000      58.5000
      103.300      134.600      304.863       2     -17.3348      113.373
     -24.8120      10.2639      5.78137      0.00000      0.00000
