          21       2  1025.72D0  0.882D0  1.00000D10
       7     600      5.76167      50.7000      2.40000     -3.50000
      130.500      54.2000      2121.97       1     -13.9091      102.878
     -18.4862      5.69211      6.21805      0.00000      0.00000
       9     600      5.98917     -20.4000      1.60000      1.00000
      130.600      21.4000      2127.78       1     -13.9091      102.878
     -18.4687      5.53795      6.60023      0.00000      0.00000
      11     600      6.20111     -60.9000      3.20000      5.10000
      130.400      66.1000      2118.84       1     -13.9091      102.878
     -18.4524      5.63915      5.94845      0.00000      0.00000
      12     600      6.38028     -70.3000      5.00000      8.60000
      130.200      78.9000      2100.55       1     -13.9091      102.878
     -18.4387      5.93723      6.62781      0.00000      0.00000
      16     600      6.89750      14.5000      1.60000      18.5000
      128.900      3.90000      1930.27       1     -17.3348      113.373
     -20.3278      5.97401      6.18021      0.00000      0.00000
      18     600      7.08500     -46.7000      2.20000      21.9000
      128.200      68.6000      1869.63       1     -17.3348      113.373
     -20.3135      6.38482      6.69034      0.00000      0.00000
      19     600      7.26028     -65.3000      3.80000      25.1000
      127.400      90.4000      1805.48       1     -17.3348      113.373
     -20.3001      6.49148      6.79352      0.00000      0.00000
      21     600      7.46833     -72.7000      6.00000      28.8000
      126.400      101.400      1720.79       1     -17.3348      113.373
     -20.2843      6.52523      6.62744      0.00000      0.00000
      25     600      7.91139      8.00000      1.50000      36.2000
      123.800      28.1000      1417.69       1     -18.2650      124.537
     -21.7855      7.14349      6.21251      0.00000      0.00000
      26     600      8.09278     -48.5000      2.30000      39.1000
      122.600      87.6000      1330.35       1     -18.2650      124.537
     -21.7719      7.39880      6.41664      0.00000      0.00000
      28     600      8.28167     -66.6000      4.10000      42.0000
      121.200      108.600      1236.44       1     -18.2650      124.537
     -21.7578      7.77255      6.40029      0.00000      0.00000
      29     600      8.46083     -72.6000      5.90000      44.7000
      119.900      117.300      1145.43       1     -18.2650      124.537
     -21.7444      7.98265      6.28354      0.00000      0.00000
      31     600      8.70389     -75.8000      8.50000      48.2000
      118.000      124.000      1020.56       1     -18.2650      124.537
     -21.7264      8.75167      6.48047      0.00000      0.00000
      33     600      9.03972     -77.1000      12.1000      52.8000
      115.100      129.900      849.186       1     -18.2650      124.537
     -21.7019      9.18322      6.32774      0.00000      0.00000
      35     600      9.23028     -77.2000      14.1000      55.3000
      113.500      132.500      754.563       1     -18.2650      124.537
     -21.6882      10.0668      6.39144      0.00000      0.00000
      36     600      9.40944     -77.0000      16.1000      57.6000
      111.800      134.500      668.533       2     -18.2650      124.537
     -21.6755      10.7331      6.35652      0.00000      0.00000
      38     600      9.60389     -76.6000      18.1000      60.0000
      110.000      136.600      579.410       2     -18.2650      124.537
     -21.6620      11.3524      6.33182      0.00000      0.00000
      39     600      9.78111     -76.1000      20.0000      62.1000
      108.300      138.200      502.886       2     -18.2650      124.537
     -21.6499      11.8346      6.51833      0.00000      0.00000
      41     600      9.97389     -75.4000      22.1000      64.4000
      106.400      139.900      425.622       2     -18.2650      124.537
     -21.6370      12.7861      6.31948      0.00000      0.00000
      42     600      10.1542     -74.8000      24.0000      66.5000
      104.700      141.300      359.731       2     -18.2650      124.537
     -21.6252      13.2961      6.49268      0.00000      0.00000
      43     600      10.3281     -74.1000      25.8000      68.5000
      102.900      142.600      302.577       2     -18.2650      124.537
     -21.6142      13.5321      6.20443      0.00000      0.00000
