           69.0       2  1025.72D0  0.882D0  1.00000D10
       6     600      2.49444      64.5000      44.5000     -55.1000
      108.000      119.600      520.428       3     -13.5295      103.063
     -22.3868      10.1417      6.00287      0.00000      0.00000
       7     600      2.67139      65.5000      42.8000     -52.9000
      109.600      118.400      594.851       3     -13.5295      103.063
     -22.3795      9.75596      6.13932      0.00000      0.00000
      10     600      2.88472      66.6000      40.6000     -50.2000
      111.400      116.800      688.534       3     -13.5295      103.063
     -22.3702      9.23635      6.16325      0.00000      0.00000
      11     600      3.05944      67.5000      38.9000     -47.9000
      112.900      115.400      767.366       3     -13.5295      103.063
     -22.3621      8.56764      6.20430      0.00000      0.00000
      14     600      3.26778      68.5000      36.7000     -45.1000
      114.500      113.600      862.441       3     -13.5295      103.063
     -22.3519      8.17538      6.24846      0.00000      0.00000
      15     600      3.44361      69.4000      34.9000     -42.6000
      115.900      112.000      942.503       3     -13.5295      103.063
     -22.3428      7.78766      6.33995      0.00000      0.00000
      16     600      3.61944      70.2000      33.1000     -40.1000
      117.100      110.300      1021.42       3     -13.5295      103.063
     -22.3333      7.37799      6.03491      0.00000      0.00000
      19     600      3.82833      71.1000      31.0000     -37.0000
      118.600      108.200      1112.50       3     -13.5295      103.063
     -22.3216      7.01473      5.84355      0.00000      0.00000
       7     600      2.31722      64.6000      44.3000     -57.8000
      107.400      122.400      494.016       3     -13.5295      103.063
     -21.5412      10.9870      6.29592      0.00000      0.00000
       9     600      2.51000      65.7000      42.4000     -55.4000
      109.100      121.100      576.590       3     -13.5295      103.063
     -21.5331      10.4657      6.12423      0.00000      0.00000
      11     600      2.72611      66.8000      40.3000     -52.7000
      111.000      119.500      674.574       3     -13.5295      103.063
     -21.5235      10.0430      6.22978      0.00000      0.00000
      12     600      2.90917      67.7000      38.4000     -50.3000
      112.600      118.100      760.772       3     -13.5295      103.063
     -21.5147      9.65320      6.08369      0.00000      0.00000
      14     600      3.12306      68.8000      36.2000     -47.5000
      114.400      116.300      863.635       3     -13.5295      103.063
     -21.5040      8.90363      6.16210      0.00000      0.00000
      16     600      3.32444      69.7000      34.1000     -44.7000
      116.000      114.500      961.083       3     -13.5295      103.063
     -21.4934      8.35836      6.60033      0.00000      0.00000
      18     600      3.51278      70.6000      32.2000     -42.0000
      117.400      112.600      1051.42       3     -13.5295      103.063
     -21.4829      7.99442      6.01696      0.00000      0.00000
      19     600      3.72806      71.5000      30.0000     -38.9000
      118.900      110.400      1152.26       3     -13.5295      103.063
     -21.4705      7.66498      5.79182      0.00000      0.00000
      20     600      3.91528      72.3000      28.0000     -36.0000
      120.200      108.300      1236.64       2     -13.5295      103.063
     -21.4593      7.38658      6.04353      0.00000      0.00000
      22     600      4.10389      73.0000      26.0000     -33.1000
      121.300      106.100      1317.48       2     -13.5295      103.063
     -21.4476      7.32547      6.14104      0.00000      0.00000
      23     600      4.28333      73.7000      24.1000     -30.2000
      122.400      103.900      1389.67       2     -13.5295      103.063
     -21.4362      7.02706      6.12115      0.00000      0.00000
      24     600      4.46583      74.3000      22.2000     -27.2000
      123.300      101.500      1457.59       2     -13.5295      103.063
     -21.4243      6.59408      5.80916      0.00000      0.00000
      26     600      4.66333      74.8000      20.1000     -23.9000
      124.300      98.7000      1524.06       2     -13.5295      103.063
     -21.4110      6.59179      6.11585      0.00000      0.00000
      29     600      5.13556      75.5000      15.1000     -15.6000
      126.000      91.1000      1649.12       2     -13.5295      103.063
