           44.0       2  1025.72D0  0.882D0  1.00000D10
       7     600      2.71694     -90.6000      2.50000     -44.6000
      100.700      45.9000      214.370       1      72.3044      99.1701
      8.42450      12.3471      6.02919      0.00000      0.00000
       8     600      2.91361     -88.8000      4.60000     -42.3000
      102.200      46.5000      247.187       1      72.3044      99.1701
      8.43791      12.6570      6.14084      0.00000      0.00000
      10     600      3.12222     -87.4000      6.90000     -39.8000
      103.700      47.6000      284.492       1      72.3044      99.1701
      8.45206      12.5066      6.17781      0.00000      0.00000
      11     600      3.30861     -86.3000      9.00000     -37.4000
      104.900      48.8000      319.325       1      72.3044      99.1701
      8.46459      12.2393      6.15634      0.00000      0.00000
      14     600      3.59861      89.0000      4.30000     -33.7000
      106.800      122.800      395.473       1      59.5560      72.7688
     -1.86351      12.1609      6.23501      0.00000      0.00000
      15     600      3.79500      91.1000      2.10000     -31.2000
      107.900      122.200      436.410       1      59.5560      72.7688
     -1.84940      11.7404      6.23942      0.00000      0.00000
      17     600      3.99000     -156.100     0.100000     -28.5000
      109.000      127.600      476.372       1      59.5560      72.7688
     -1.83536      11.3848      6.28697      0.00000      0.00000
      18     600      4.16944     -91.2000      2.00000     -26.1000
      109.900      65.1000      511.965       1      59.5560      72.7688
     -1.82244      11.2537      6.24868      0.00000      0.00000
      20     600      4.37000     -89.1000      4.20000     -23.3000
      110.800      65.8000      549.783       1      59.5560      72.7688
     -1.80803      11.1039      5.90627      0.00000      0.00000
      21     600      4.54889     -87.8000      6.20000     -20.8000
      111.500      67.0000      581.266       1      59.5560      72.7688
     -1.79524      11.0199      5.90163      0.00000      0.00000
      22     600      4.72778     -86.7000      8.10000     -18.2000
      112.200      68.5000      610.193       1      59.5560      72.7688
     -1.78253      11.0128      6.06274      0.00000      0.00000
      25     600      5.06556      88.8000      4.60000     -13.2000
      113.200      102.100      680.728       1      43.4450      67.6956
     -12.4870      10.5553      6.35995      0.00000      0.00000
      26     600      5.24167      90.4000      2.70000     -10.6000
      113.600      101.000      700.169       1      43.4450      67.6956
     -12.4741      10.2998      6.19335      0.00000      0.00000
      27     600      5.41944      95.9000     0.700000     -8.00000
      113.900      103.900      715.820       1      43.4450      67.6956
     -12.4610      10.4763      6.17546      0.00000      0.00000
      28     600      5.61722     -92.3000      1.50000     -5.00000
      114.100      87.3000      728.299       1      43.4450      67.6956
     -12.4464      10.5558      6.42301      0.00000      0.00000
      33     600      6.38028     -68.8000      4.60000      6.60000
      114.000      75.4000      716.645       1      38.0456      69.8379
     -15.5995      10.7455      6.03894      0.00000      0.00000
      35     600      6.58250     -73.9000      6.70000      9.60000
      113.700      83.5000      702.034       1      38.0456      69.8379
     -15.5852      10.8018      6.34619      0.00000      0.00000
      36     600      6.77972     -76.0000      8.80000      12.6000
      113.300      88.6000      682.711       1      38.0456      69.8379
