          18       2  1025.72D0  0.882D0  1.00000D10
       3     600      5.17250      74.1000      6.80000     -11.7000
      113.100      85.8000      671.362       1      38.0456      69.8379
     -15.1004      9.68523      6.52816      0.00000      0.00000
       5     600      5.37278      69.3000      4.70000     -8.80000
      113.500      78.1000      689.914       1      38.0456      69.8379
     -15.0862      9.59437      6.21490      0.00000      0.00000
       6     600      5.57139      55.9000      2.80000     -5.80000
      113.800      61.7000      703.262       1      38.0456      69.8379
     -15.0721      9.25732      5.95806      0.00000      0.00000
       8     300      5.77222      5.20000      1.50000     -2.80000
      114.000      8.00000      711.432       1      38.0456      69.8379
     -15.0577      9.45889      6.13570      0.00000      0.00000
       9     300      5.95722     -50.3000      2.40000      0.00000
      114.000      50.3000      714.104       1      38.0456      69.8379
     -15.0445      9.36800      6.29923      0.00000      0.00000
      11     300      6.15667     -67.6000      4.30000      3.10000
      114.000      70.7000      711.727       1      38.0456      69.8379
     -15.0303      9.43512      6.37360      0.00000      0.00000
      15     300      6.68694     -76.6000      9.90000      11.0000
      113.200      87.6000      679.403       1      38.0456      69.8379
     -14.9929      10.2591      6.07401      0.00000      0.00000
      18     300      7.31639     -72.7000      6.00000      20.2000
      111.400      92.9000      589.746       1      27.4608      71.4340
     -20.9327      10.5023      6.16890      0.00000      0.00000
      19     600      7.50444     -75.4000      8.00000      22.8000
      110.600      98.3000      557.445       1      27.4608      71.4340
     -20.9194      10.7671      5.94252      0.00000      0.00000
      21     600      7.69750     -76.7000      10.0000      25.5000
      109.800      102.200      521.613       1      27.4608      71.4340
     -20.9060      11.2674      5.87049      0.00000      0.00000
      22     600      7.88250     -77.1000      12.0000      28.1000
      108.900      105.200      485.262       1      27.4608      71.4340
     -20.8932      11.6559      6.07228      0.00000      0.00000
      26     600      8.34556     -73.3000      6.30000      34.2000
      106.200      107.500      380.381       1      17.2403      74.7503
     -25.7517      12.4876      6.26707      0.00000      0.00000
      27     600      8.52972     -75.7000      8.30000      36.5000
      105.100      112.200      342.996       1      17.2403      74.7503
     -25.7390      12.7616      6.21959      0.00000      0.00000
      29     600      8.73028     -76.8000      10.4000      39.0000
      103.700      115.800      303.099       1      17.2403      74.7503
     -25.7253      13.1808      6.06413      0.00000      0.00000
      30     600      8.82389     -77.0000      11.4000      40.2000
      103.100      117.200      284.980       1      17.2403      74.7503
     -25.7189      13.3187      6.08681      0.00000      0.00000
      31     600      8.91611     -77.2000      12.4000      41.3000
      102.400      118.400      267.552       1      17.2403      74.7503
     -25.7127      13.2332      5.90494      0.00000      0.00000
      32     600      9.02472     -77.2000      13.6000      42.6000
      101.600      119.800      247.665       1      17.2403      74.7503
     -25.7054      13.5858      6.25613      0.00000      0.00000
      33     600      9.12306     -77.1000      14.6000      43.7000
      100.900      120.900      230.353       1      17.2403      74.7503
     -25.6989      13.6693      6.28889      0.00000      0.00000
