          26       2  1025.72D0  0.882D0  1.00000D10
       7     600      2.71694     -90.6000      2.50000     -44.6000
      100.700      45.9000      214.370       1      72.3044      99.1701
      8.42450      12.3471      6.02919      0.00000      0.00000
       8     600      2.91361     -88.8000      4.60000     -42.3000
      102.200      46.5000      247.187       1      72.3044      99.1701
      8.43791      12.6570      6.14084      0.00000      0.00000
      10     600      3.12222     -87.4000      6.90000     -39.8000
      103.700      47.6000      284.492       1      72.3044      99.1701
      8.45206      12.5066      6.17781      0.00000      0.00000
      11     600      3.30861     -86.3000      9.00000     -37.4000
      104.900      48.8000      319.325       1      72.3044      99.1701
      8.46459      12.2393      6.15634      0.00000      0.00000
      14     600      3.59861      89.0000      4.30000     -33.7000
      106.800      122.800      395.473       1      59.5560      72.7688
     -1.86351      12.1609      6.23501      0.00000      0.00000
      15     600      3.79500      91.1000      2.10000     -31.2000
      107.900      122.200      436.410       1      59.5560      72.7688
     -1.84940      11.7404      6.23942      0.00000      0.00000
      17     600      3.99000     -156.100     0.100000     -28.5000
      109.000      127.600      476.372       1      59.5560      72.7688
     -1.83536      11.3848      6.28697      0.00000      0.00000
      18     600      4.16944     -91.2000      2.00000     -26.1000
      109.900      65.1000      511.965       1      59.5560      72.7688
     -1.82244      11.2537      6.24868      0.00000      0.00000
      20     600      4.37000     -89.1000      4.20000     -23.3000
      110.800      65.8000      549.783       1      59.5560      72.7688
     -1.80803      11.1039      5.90627      0.00000      0.00000
      21     600      4.54889     -87.8000      6.20000     -20.8000
      111.500      67.0000      581.266       1      59.5560      72.7688
     -1.79524      11.0199      5.90163      0.00000      0.00000
      22     600      4.72778     -86.7000      8.10000     -18.2000
      112.200      68.5000      610.193       1      59.5560      72.7688
     -1.78253      11.0128      6.06274      0.00000      0.00000
      25     600      5.06556      88.8000      4.60000     -13.2000
      113.200      102.100      680.728       1      43.4450      67.6956
     -12.4870      10.5553      6.35995      0.00000      0.00000
      26     600      5.24167      90.4000      2.70000     -10.6000
      113.600      101.000      700.169       1      43.4450      67.6956
     -12.4741      10.2998      6.19335      0.00000      0.00000
      27     600      5.41944      95.9000     0.700000     -8.00000
      113.900      103.900      715.820       1      43.4450      67.6956
     -12.4610      10.4763      6.17546      0.00000      0.00000
      28     600      5.61722     -92.3000      1.50000     -5.00000
      114.100      87.3000      728.299       1      43.4450      67.6956
     -12.4464      10.5558      6.42301      0.00000      0.00000
      33     600      6.38028     -68.8000      4.60000      6.60000
      114.000      75.4000      716.645       1      38.0456      69.8379
     -15.5995      10.7455      6.03894      0.00000      0.00000
      35     600      6.58250     -73.9000      6.70000      9.60000
      113.700      83.5000      702.034       1      38.0456      69.8379
     -15.5852      10.8018      6.34619      0.00000      0.00000
      36     600      6.77972     -76.0000      8.80000      12.6000
      113.300      88.6000      682.711       1      38.0456      69.8379
     -15.5712      10.7620      6.17717      0.00000      0.00000
      38     600      7.12139     -77.2000      12.4000      17.6000
      112.300      94.7000      638.301       1      38.0456      69.8379
     -15.5475      11.1467      6.45836      0.00000      0.00000
      40     600      7.32306     -77.1000      14.6000      20.5000
      111.600      97.6000      606.290       1      38.0456      69.8379
     -15.5337      11.0292      5.95106      0.00000      0.00000
      42     600      7.67611     -54.1000      2.60000      25.5000
      110.100      79.6000      526.578       1      22.2883      72.8983
     -24.0329      11.5373      5.96292      0.00000      0.00000
      44     600      7.88278     -69.1000      4.60000      28.3000
      109.100      97.3000      485.970       1      22.2883      72.8983
     -24.0184      11.9178      6.03598      0.00000      0.00000
      45     600      8.06528     -73.7000      6.50000      30.7000
      108.100      104.500      448.670       1      22.2883      72.8983
     -24.0056      12.0233      6.08104      0.00000      0.00000
      46     600      8.24917     -75.8000      8.50000      33.2000
      107.000      109.000      410.297       1      22.2883      72.8983
     -23.9928      12.4629      6.13871      0.00000      0.00000
      49     600      8.55500     -77.1000      11.8000      37.1000
      105.100      114.200      346.314       1      22.2883      72.8983
     -23.9718      13.2589      5.88918      0.00000      0.00000
      50     600      8.77972     -77.2000      14.2000      39.9000
      103.600      117.100      300.559       1      22.2883      72.8983
     -23.9566      13.9585      6.10245      0.00000      0.00000
