          12       2  1025.72D0  0.882D0  1.00000D10
       7     600      3.51306     -34.0000      19.7000     -37.9000
      112.500      4.00000      559.548       2      53.0010      148.503
      15.4373      8.66576      6.74943      0.00000      0.00000
       8     600      3.69583     -36.5000      20.9000     -35.4000
      113.700      1.20000      605.172       2      53.0010      148.503
      15.4455      8.62000      6.61544      0.00000      0.00000
      13     600      5.04667     -45.8000      30.8000     -14.6000
      120.000      31.2000      868.204       3      53.0010      148.503
      15.4999      7.92620      6.66392      0.00000      0.00000
      14     600      5.30778      25.2000      17.1000     -10.3000
      120.600      35.5000      1011.32       2      51.8686      95.7002
     -6.93795      7.33818      6.92056      0.00000      0.00000
      18     600      6.72889     -15.4000      15.6000      13.5000
      120.200      28.9000      986.925       2      51.8686      95.7002
     -6.86260      7.88866      7.15891      0.00000      0.00000
      19     600      6.90722     -20.1000      16.2000      16.4000
      119.600      36.5000      960.673       2      51.8686      95.7002
     -6.85319      8.13408      6.70792      0.00000      0.00000
      20     600      7.08278     -24.3000      16.9000      19.2000
      119.100      43.5000      930.352       2      51.8686      95.7002
     -6.84400      8.23329      6.26765      0.00000      0.00000
      22     600      7.61333     -68.9000      4.60000      27.5000
      116.700      96.4000      889.620       1      48.6986      70.6475
     -16.1231      8.36076      6.66409      0.00000      0.00000
      23     600      7.79472     -73.6000      6.50000      30.2000
      115.800      103.800      836.469       1      48.6986      70.6475
     -16.1099      8.51787      6.22876      0.00000      0.00000
      25     600      8.01806     -76.1000      8.90000      33.5000
      114.500      109.600      767.504       1      48.6986      70.6475
     -16.0938      8.91661      6.92726      0.00000      0.00000
      26     600      8.19639     -76.9000      10.8000      36.0000
      113.400      112.900      710.425       1      48.6986      70.6475
     -16.0811      9.15221      6.61336      0.00000      0.00000
      27     600      8.43528     -77.2000      13.3000      39.3000
      111.800      116.500      632.425       1      48.6986      70.6475
     -16.0642      9.78451      6.96187      0.00000      0.00000
