          36       2  1025.72D0  0.882D0  1.00000D10
       2     300      4.13750      131.000      18.1000     -27.3000
      112.600      158.300      743.087       2      61.7177      46.4330
     -5.49626      7.07280      6.82762      0.00000      0.00000
       3     300      4.24611      134.700      17.2000     -25.7000
      113.100      160.400      773.247       2      61.7177      46.4330
     -5.48670      7.08494      5.74925      0.00000      0.00000
       4     300      4.33778      138.000      16.6000     -24.4000
      113.500      162.400      797.901       2      61.7177      46.4330
     -5.47859      6.91158      6.05229      0.00000      0.00000
       5     300      4.43056      141.600      15.9000     -23.0000
      113.900      164.700      822.016       2      61.7177      46.4330
     -5.47034      7.06141      6.39107      0.00000      0.00000
       6     300      4.52472      145.600      15.3000     -21.6000
      114.300      167.200      845.543       2      61.7177      46.4330
     -5.46194      6.95758      6.25427      0.00000      0.00000
       7     300      4.62306      150.000      14.7000     -20.1000
      114.700      170.200      869.002       1      61.7177      46.4330
     -5.45312      6.72493      6.32283      0.00000      0.00000
       9     300      4.73611      155.500      14.1000     -18.4000
      115.100      173.900      894.456       1      61.7177      46.4330
     -5.44296      6.68377      6.58790      0.00000      0.00000
      10     300      4.82750      160.200      13.8000     -17.1000
      115.400      177.200      913.762       1      61.7177      46.4330
     -5.43472      6.32341      6.63009      0.00000      0.00000
      11     300      4.97083      167.900      13.3000     -14.9000
      115.800      177.200      941.591       1      61.7177      46.4330
     -5.42176      6.54026      6.05847      0.00000      0.00000
      13     300      5.07639      173.900      13.1000     -13.2000
      116.100      172.900      960.059       1      61.7177      46.4330
     -5.41221      6.44172      5.72823      0.00000      0.00000
      14     300      5.18639     -179.800      13.1000     -11.5000
      116.400      168.300      977.376       1      61.7177      46.4330
     -5.40224      6.23619      7.40676      0.00000      0.00000
      22     300      6.14722      76.9000      10.9000      3.60000
      117.100      73.3000      883.483       1      38.4044      69.8205
     -19.0837      6.58555      6.32284      0.00000      0.00000
      23     300      6.24389      76.6000      9.90000      5.20000
      117.000      71.5000      878.431       1      38.4044      69.8205
     -19.0769      6.28625      6.02817      0.00000      0.00000
      24     300      6.33833      76.1000      8.90000      6.70000
      116.900      69.4000      872.094       1      38.4044      69.8205
     -19.0703      6.50473      6.33023      0.00000      0.00000
      25     300      6.43444      75.3000      7.80000      8.20000
      116.800      67.1000      864.245       1      38.4044      69.8205
     -19.0635      6.48629      6.26945      0.00000      0.00000
      26     300      6.52472      74.2000      6.90000      9.60000
      116.600      64.6000      855.610       1      38.4044      69.8205
     -19.0571      6.38810      5.87222      0.00000      0.00000
      27     300      6.62028      72.5000      5.90000      11.1000
      116.400      61.4000      845.169       1      38.4044      69.8205
     -19.0503      6.39912      6.14089      0.00000      0.00000
      31     300      6.97306      50.2000      2.40000      16.5000
      115.500      33.7000      795.661       1      38.4044      69.8205
     -19.0250      7.05479      5.96329      0.00000      0.00000
      32     300      7.09528      19.2000      1.60000      18.4000
      115.100     0.800000      774.776       1      38.4044      69.8205
     -19.0162      6.59922      5.89809      0.00000      0.00000
      34     300      7.20694     -24.2000      1.60000      20.0000
      114.700      44.2000      754.173       1      38.4044      69.8205
     -19.0082      6.92173      5.42018      0.00000      0.00000
      35     300      7.30000     -47.7000      2.30000      21.4000
      114.300      69.1000      735.965       1      38.4044      69.8205
     -19.0015      6.74170      5.84812      0.00000      0.00000
      36     300      7.39778     -60.1000      3.10000      22.9000
      113.900      83.0000      715.886       1      38.4044      69.8205
     -18.9944      7.02295      6.51965      0.00000      0.00000
      37     300      7.49056     -66.5000      4.00000      24.2000
      113.500      90.7000      696.003       1      38.4044      69.8205
     -18.9878      6.86726      6.06731      0.00000      0.00000
      41     300      7.76500     -74.2000      6.90000      28.2000
      112.200      102.400      633.108       1      38.4044      69.8205
     -18.9682      7.48793      6.29272      0.00000      0.00000
      42     300      7.85611     -75.3000      7.90000      29.5000
      111.700      104.800      611.109       1      38.4044      69.8205
     -18.9617      7.39512      6.47839      0.00000      0.00000
      43     300      7.95361     -76.1000      8.90000      30.8000
      111.200      107.000      587.085       1      38.4044      69.8205
     -18.9548      7.33980      6.42088      0.00000      0.00000
      45     300      8.06111     -76.7000      10.0000      32.3000
      110.600      109.000      560.126       1      38.4044      69.8205
     -18.9472      7.52228      5.91110      0.00000      0.00000
      46     300      8.16611     -77.0000      11.2000      33.7000
      109.900      110.700      533.436       1      38.4044      69.8205
     -18.9399      8.01968      6.55567      0.00000      0.00000
      47     300      8.25611     -77.2000      12.1000      35.0000
      109.400      112.100      510.371       1      38.4044      69.8205
     -18.9336      7.86836      5.87628      0.00000      0.00000
      51     300      8.55833     -77.1000      15.4000      38.9000
      107.400      116.000      432.705       2      38.4044      69.8205
     -18.9129      8.39110      6.15428      0.00000      0.00000
      52     300      8.64861     -76.9000      16.3000      40.1000
      106.800      117.000      409.756       2      38.4044      69.8205
     -18.9069      8.71285      6.46665      0.00000      0.00000
      53     300      8.73972     -76.7000      17.3000      41.2000
      106.100      118.000      386.860       2      38.4044      69.8205
     -18.9008      8.58710      6.39391      0.00000      0.00000
      54     300      8.83722     -76.5000      18.4000      42.5000
      105.400      119.000      362.750       2      38.4044      69.8205
     -18.8943      9.20907      6.40366      0.00000      0.00000
      55     300      8.93000     -76.3000      19.3000      43.6000
      104.700      119.900      340.275       2      38.4044      69.8205
     -18.8883      9.28341      5.62668      0.00000      0.00000
      56     300      9.03056     -76.0000      20.4000      44.8000
      104.000      120.800      316.534       2      38.4044      69.8205
     -18.8818      9.18694      6.17312      0.00000      0.00000
      58     300      9.13028     -75.6000      21.5000      46.0000
      103.200      121.700      293.731       2      38.4044      69.8205
     -18.8754      9.59493      6.02631      0.00000      0.00000
