          38       2  1025.72D0  0.882D0  1.00000D10
       4     600      1.46111     -102.400      22.1000     -91.7000
      116.500      10.7000      732.330       2     -25.7925      138.485
      29.5317      7.20740      6.25914      0.00000      0.00000
       6     900      1.65306     -99.5000      24.2000     -89.8000
      118.600      9.70000      824.208       2     -25.7925      138.485
      29.5444      7.22060      6.32489      0.00000      0.00000
       7     900      1.86889     -96.6000      26.5000     -87.5000
      121.000      9.10000      931.832       2     -25.7925      138.485
      29.5584      7.04389      6.36489      0.00000      0.00000
       9     300      2.07333     -94.1000      28.8000     -85.3000
      123.200      8.70000      1037.11       2     -25.7925      138.485
      29.5711      6.58474      6.28328      0.00000      0.00000
      10     300      2.25333     -92.1000      30.7000     -83.4000
      125.200      8.70000      1131.77       3     -25.7925      138.485
      29.5819      6.52442      6.08595      0.00000      0.00000
      11     300      2.42861     -90.2000      32.7000     -81.4000
      127.100      8.80000      1225.11       3     -25.7925      138.485
      29.5921      6.25036      5.95995      0.00000      0.00000
      17     200      3.77306      96.1000      36.9000     -63.2000
      141.100      159.200      17434.8       3      39.6451      195.169
      3.82364      1.99109      3.94796      0.00000      0.00000
      19     600      4.09000      100.000      33.4000     -57.7000
      144.100      157.700      18106.2       3      39.6451      195.169
      3.84893      1.82058      4.95878      0.00000      0.00000
      22     600      5.06056      126.300      39.0000     -36.0000
      151.900      162.300      30203.7       3      41.7940      216.827
   -0.0838050      1.74541      5.72477      0.00000      0.00000
      23     600      5.45306      116.200      44.7000     -24.7000
      154.100      140.900      13186.2       3      54.9952      225.913
     -10.4028      1.90276      4.93834      0.00000      0.00000
      25     600      5.77250      141.000      33.3000     -14.5000
      155.200      155.400      27078.9       3      41.7940      216.827
   -0.0135950      1.72487      5.48317      0.00000      0.00000
      26     600      6.10528      127.100      38.6000     -3.20000
      155.800      130.300      11905.5       3      54.9952      225.913
     -10.3447      1.84940      4.69755      0.00000      0.00000
      29     900      6.70139      165.800      28.7000      17.2000
      155.000      148.600      22608.2       2      41.7940      216.827
    0.0838650      1.73335      4.94406      0.00000      0.00000
      30     900      7.03583      172.400      13.2000      27.6000
      153.600      144.800      12693.9       1      46.0303      196.786
    -0.547517      2.09523      4.84260      0.00000      0.00000
      31     900      7.30667     -172.100      13.2000      35.3000
      152.000      152.600      11963.3       1      46.0303      196.786
    -0.520849      2.11656      4.45817      0.00000      0.00000
      33     900      7.61639      150.500      14.6000      43.2000
      149.900      107.300      7093.34       1      58.9335      199.149
     -9.79286      2.53364      5.24785      0.00000      0.00000
      34     900      7.93250      166.800      13.4000      50.3000
      147.400      116.400      6488.12       1      58.9335      199.149
     -9.76243      2.66858      5.41411      0.00000      0.00000
      37     900      8.46778     -163.000      13.6000      60.6000
