           180.0       2  1025.72D0  0.882D0  1.00000D10
       2     300    0.0930556      96.5000     0.600000     -106.000
      103.200      157.500      279.319       1     -18.1198      136.040
      25.1259      8.63312      6.04630      0.00000      0.00000
       3     600     0.245833     -93.3000      1.10000     -104.500
      104.800      11.2000      324.232       1     -18.1198      136.040
      25.1367      8.51655      6.68719      0.00000      0.00000
       4     600     0.375000     -90.5000      2.50000     -103.300
      106.200      12.8000      366.189       1     -18.1198      136.040
      25.1458      8.47450      5.93613      0.00000      0.00000
       6     600     0.478889     -89.4000      3.60000     -102.300
      107.300      12.9000      402.541       1     -18.1198      136.040
      25.1531      8.00530      5.90110      0.00000      0.00000
       7     900     0.612778     -88.4000      5.10000     -101.000
      108.700      12.6000      452.745       1     -18.1198      136.040
      25.1626      7.22380      6.44833      0.00000      0.00000
       8     900     0.703333     -87.8000      6.10000     -100.200
      109.700      12.3000      488.792       1     -18.1198      136.040
      25.1689      7.20126      5.46543      0.00000      0.00000
       9     900     0.814722     -87.1000      7.30000     -99.1000
      110.900      12.0000      535.381       1     -18.1198      136.040
      25.1767      7.37747      6.02085      0.00000      0.00000
      11     900      1.00361     -86.0000      9.40000     -97.3000
      112.900      11.2000      619.833       1     -18.1198      136.040
      25.1898      6.92193      6.23441      0.00000      0.00000
      13     900      1.37444     -84.0000      13.5000     -93.6000
      117.000      9.70000      803.911       1     -18.1198      136.040
      25.2151      6.37607      6.28694      0.00000      0.00000
      14     300      1.55917     -83.0000      15.5000     -91.8000
      119.000      8.80000      903.597       2     -18.1198      136.040
      25.2274      6.03781      5.83786      0.00000      0.00000
      15     300      1.73611     -82.0000      17.4000     -90.0000
      120.900      8.00000      1003.35       2     -18.1198      136.040
      25.2390      5.86636      5.90753      0.00000      0.00000
      21     300      3.17361     -145.700      26.5000     -73.3000
      136.400      72.4000      2581.65       2     -24.3876      172.071
      35.6696      3.73375      5.88592      0.00000      0.00000
      22     300      3.44917      129.400      31.4000     -69.5000
      139.300      161.200      10738.0       3      10.7890      195.860
      19.4855      3.49177      6.11825      0.00000      0.00000
      23     300      3.67139      83.6000      27.6000     -66.1000
      141.500      149.700      8763.41       2      29.6058      180.277
      7.31623      2.53856      5.29865      0.00000      0.00000
      24     600      3.95361      64.8000      44.0000     -61.4000
      144.300      126.200      7390.00       3      51.6037      173.682
     -8.34142      2.77780      5.30439      0.00000      0.00000
      26     600      4.41500      64.6000      44.4000     -52.5000
      148.500      117.100      6981.04       3      56.6847      171.094
     -11.9087      3.25010      5.82961      0.00000      0.00000
      30     600      4.85417      65.7000      42.5000     -42.2000
      152.100      107.900      6717.31       3      59.1353      169.187
     -13.6287      2.85836      6.58938      0.00000      0.00000
      31     600      5.03333      66.6000      40.7000     -37.5000
