          30       2  1025.72D0  0.882D0  1.00000D10
       3     600      2.95889     -73.9000      33.3000     -75.5000
      133.400      1.60000      1641.51       3     -18.1198      136.040
      25.7705      4.73773      5.84120      0.00000      0.00000
       5     900      3.17583     -72.6000      35.6000     -72.7000
      135.700      0.00000      1768.72       3     -18.1198      136.040
      25.7809      4.80978      5.64826      0.00000      0.00000
       6     600      3.35361     -71.6000      37.5000     -70.2000
      137.500      1.50000      1871.34       3     -18.1198      136.040
      25.7889      4.37433      5.07592      0.00000      0.00000
       7     600      3.53194     -70.6000      39.3000     -67.5000
      139.300      3.00000      1972.19       3     -18.1198      136.040
      25.7965      4.29190      5.62023      0.00000      0.00000
       8     600      3.70722     -69.6000      41.1000     -64.8000
      141.100      4.70000      2068.73       3     -18.1198      136.040
      25.8036      4.20759      5.58237      0.00000      0.00000
       9     600      3.88639     -68.5000      43.0000     -61.9000
      142.800      6.60000      2164.22       3     -18.1198      136.040
      25.8104      4.29825      5.41333      0.00000      0.00000
      11     600      4.12333      92.2000      40.7000     -57.6000
      145.100      149.800      16117.2       3      46.0303      196.786
     -2.33264      2.13248      4.55015      0.00000      0.00000
      12     600      4.43111      95.6000      37.3000     -51.5000
      147.800      147.200      16067.6       3      46.0303      196.786
     -2.30981      2.04208      5.37498      0.00000      0.00000
      15     600      4.82000      97.3000      35.8000     -42.6000
      150.900      139.900      14191.3       3      49.2420      197.501
     -4.59281      2.18807      5.55693      0.00000      0.00000
      16     600      5.10639      101.000      32.7000     -35.1000
      152.900      136.100      13928.8       3      49.2420      197.501
     -4.56994      2.19676      5.45986      0.00000      0.00000
      18     600      5.71028      115.200      23.7000     -16.5000
      155.800      131.700      14766.6       2      46.0303      196.786
     -2.20194      1.79305      4.78853      0.00000      0.00000
      20     600      5.98250      121.400      21.1000     -7.10000
      156.400      128.500      14286.7       2      46.0303      196.786
     -2.17684      1.87719      6.58875      0.00000      0.00000
      23     600      6.39333      125.700      19.6000      7.40000
      156.400      118.300      11938.0       2      49.2420      197.501
     -4.45612      2.23669      6.26984      0.00000      0.00000
      24     600      6.66417      134.200      17.4000      16.7000
      155.800      117.500      11378.9       2      49.2420      197.501
     -4.43047      2.25624      5.34618      0.00000      0.00000
      26     900      7.11056      152.700      14.4000      30.8000
      153.800      121.900      10378.8       1      49.2420      197.501
     -4.38744      2.31007      5.17517      0.00000      0.00000
      27     900      7.37111      166.200      13.4000      38.1000
      152.200      128.100      9758.55       1      49.2420      197.501
     -4.36204      2.52199      5.45555      0.00000      0.00000
      29     900      7.67444     -176.500      13.1000      45.7000
      149.900      137.800      9011.49       1      49.2420      197.501
     -4.33238      2.56053      4.95485      0.00000      0.00000
      33     900      8.44083     -149.200      14.8000      61.1000
      143.200      149.600      6323.88       1      52.4641      198.142
     -6.56513      2.86437      5.19602      0.00000      0.00000
      34     900      8.72028     -137.600      16.6000      65.7000
      140.500      156.700      5691.69       2      52.4641      198.142
     -6.53830      3.08322      5.55367      0.00000      0.00000
      35     900      9.00722     -128.000      19.0000      70.0000
      137.500      162.000      5053.38       2      52.4641      198.142
     -6.51112      3.41991      6.27178      0.00000      0.00000
      36     900      9.30750     -155.500      14.1000      74.1000
      134.400      130.400      3170.34       1      65.4241      199.605
     -15.3972      4.07787      5.37705      0.00000      0.00000
      39     900      9.70833     -137.900      16.6000      79.2000
      130.100      142.900      2609.56       2      65.4241      199.605
     -15.3596      4.55530      5.58365      0.00000      0.00000
      40     900      9.92528     -130.400      18.3000      81.7000
      127.800      147.900      2321.89       2      65.4241      199.605
     -15.3396      4.89791      5.61341      0.00000      0.00000
      41     900      10.1228     -124.600      20.0000      83.9000
      125.700      151.500      2071.65       2      65.4241      199.605
     -15.3216      5.26276      5.82004      0.00000      0.00000
      42     900      10.2992     -120.100      21.6000      85.8000
      123.700      154.100      1858.61       2      65.4241      199.605
     -15.3057      5.86754      6.08127      0.00000      0.00000
      43     900      10.4831     -115.900      23.4000      87.8000
      121.700      156.300      1647.92       2      65.4241      199.605
     -15.2894      6.32926      6.15903      0.00000      0.00000
      44     900      10.6928      170.700      13.2000      90.0000
      119.400      80.7000      1027.33       1      86.5679      90.2274
     -29.7190      7.58158      6.26689      0.00000      0.00000
      46     900      10.9292     -175.700      13.1000      92.4000
      116.800      91.9000      876.348       1      86.5679      90.2274
     -29.6984      7.91510      5.65436      0.00000      0.00000
      47     600      11.1086     -165.600      13.4000      94.1000
      114.900      100.200      769.533       1      86.5679      90.2274
     -29.6827      8.45826      5.95677      0.00000      0.00000
      50     600      11.3761     -151.900      14.5000      96.8000
      112.000      111.400      623.885       1      86.5679      90.2274
     -29.6595      9.17731      5.51783      0.00000      0.00000
