          46       2  1025.72D0  0.882D0  1.00000D10
       5     300     0.623889     -87.1000      7.40000     -100.500
      108.300      13.4000      430.086       1     -18.1198      136.040
      25.5254      6.91312      6.30268      0.00000      0.00000
       7     600     0.755556     -86.3000      8.80000     -99.3000
      109.700      13.0000      480.795       1     -18.1198      136.040
      25.5344      7.71869      5.57436      0.00000      0.00000
       8     900     0.851944     -85.8000      9.90000     -98.3000
      110.700      12.6000      520.026       1     -18.1198      136.040
      25.5410      7.93838      5.40988      0.00000      0.00000
      10     600     0.958611     -85.2000      11.1000     -97.3000
      111.900      12.1000      565.441       1     -18.1198      136.040
      25.5482      8.10966      6.06546      0.00000      0.00000
      11     300      1.05417     -84.7000      12.1000     -96.4000
      112.900      11.7000      607.844       1     -18.1198      136.040
      25.5546      7.44534      5.19129      0.00000      0.00000
      12     300      1.14972     -84.1000      13.2000     -95.5000
      113.900      11.3000      651.805       1     -18.1198      136.040
      25.5610      7.22474      5.14264      0.00000      0.00000
      14     300      1.26667     -83.5000      14.4000     -94.3000
      115.200      10.8000      707.622       1     -18.1198      136.040
      25.5687      7.22042      5.59047      0.00000      0.00000
      15     300      1.36250     -83.0000      15.5000     -93.4000
      116.300      10.4000      754.931       2     -18.1198      136.040
      25.5750      7.00920      5.96843      0.00000      0.00000
      16     300      1.46722     -82.4000      16.6000     -92.3000
      117.400      9.90000      808.144       2     -18.1198      136.040
      25.5818      7.02951      5.16242      0.00000      0.00000
      22     300      3.00694     -74.0000      33.2000     -75.1000
      134.100      1.10000      1699.17       3     -18.1198      136.040
      25.6709      5.23681      5.68500      0.00000      0.00000
      23     300      3.20028     -72.9000      35.2000     -72.5000
      136.100     0.400000      1814.41       3     -18.1198      136.040
      25.6802      5.22863      5.46429      0.00000      0.00000
      24     300      3.37444     -71.9000      37.0000     -70.1000
      137.900      1.80000      1916.68       3     -18.1198      136.040
      25.6883      5.01194      5.10835      0.00000      0.00000
      27     300      3.82528     -69.3000      41.7000     -63.1000
      142.500      6.20000      2170.68       3     -18.1198      136.040
      25.7071      4.72831      5.37291      0.00000      0.00000
