          44       2  1025.72D0  0.882D0  1.00000D10
       4     300     0.883611     -86.0000      9.50000     -98.2000
      111.200      12.2000      543.860       1     -18.1198      136.040
      25.4308      8.04282      6.15695      0.00000      0.00000
       6     600     0.986667     -85.4000      10.7000     -97.2000
      112.400      11.8000      588.999       1     -18.1198      136.040
      25.4379      8.07871      6.09649      0.00000      0.00000
       7     900      1.09278     -84.8000      11.8000     -96.1000
      113.500      11.3000      637.449       1     -18.1198      136.040
      25.4450      7.45568      5.55202      0.00000      0.00000
       8     600      1.19333     -84.2000      12.9000     -95.2000
      114.600      10.9000      685.127       1     -18.1198      136.040
      25.4518      7.24161      5.83390      0.00000      0.00000
       9     300      1.32194     -83.5000      14.3000     -93.9000
      116.000      10.4000      748.477       1     -18.1198      136.040
      25.4603      7.47087      5.50270      0.00000      0.00000
      11     300      1.42000     -83.0000      15.4000     -92.9000
      117.100      9.90000      798.458       2     -18.1198      136.040
      25.4668      6.85849      6.02846      0.00000      0.00000
      12     300      1.51556     -82.5000      16.4000     -92.0000
      118.100      9.50000      848.477       2     -18.1198      136.040
      25.4730      7.07786      5.33662      0.00000      0.00000
      13     300      1.60694     -82.0000      17.4000     -91.0000
      119.100      9.00000      897.448       2     -18.1198      136.040
      25.4790      6.50120      5.54865      0.00000      0.00000
      14     300      1.70000     -81.5000      18.4000     -90.1000
      120.100      8.60000      948.375       2     -18.1198      136.040
      25.4849      6.86645      5.23545      0.00000      0.00000
      17     300      1.95472     -80.1000      21.2000     -87.5000
      122.900      7.30000      1092.60       2     -18.1198      136.040
      25.5009      6.46418      5.65228      0.00000      0.00000
      18     300      2.13028     -79.2000      23.1000     -85.6000
      124.800      6.40000      1195.44       2     -18.1198      136.040
      25.5116      5.93977      5.76097      0.00000      0.00000
      20     300      2.32944     -83.5000      14.4000     -83.4000
      127.000     0.100000      1474.57       1     -13.8961      146.561
      27.1441      73.1822     0.113971      0.00000      0.00000
      21     300      2.52750     -82.4000      16.6000     -81.1000
      129.200      1.30000      1618.43       2     -13.8961      146.561
      27.1579      4.71917      5.67771      0.00000      0.00000
      22     300      2.71528     -76.0000      29.4000     -78.9000
      131.200      2.90000      1550.13       2     -18.1198      136.040
      25.5451      5.33684      5.63615      0.00000      0.00000
      23     300      2.89667     -75.0000      31.3000     -76.7000
      133.100      1.70000      1661.46       3     -18.1198      136.040
      25.5548      5.31926      5.11817      0.00000      0.00000
      24     300      3.08500     -73.9000      33.3000     -74.2000
      135.100     0.300000      1776.52       3     -18.1198      136.040
      25.5644      4.98760      5.40433      0.00000      0.00000
      27     300      3.38472     -72.2000      36.4000     -70.1000
      138.200      2.10000      1956.72       3     -18.1198      136.040
      25.5788      4.83740      5.29560      0.00000      0.00000
      28     600      3.56778     -71.1000      38.3000     -67.4000
      140.100      3.80000      2063.99       3     -18.1198      136.040
      25.5870      4.69513      5.45477      0.00000      0.00000
      29     600      3.74861     -70.1000      40.2000     -64.5000
      141.900      5.60000      2167.15       3     -18.1198      136.040
      25.5946      4.43269      4.92998      0.00000      0.00000
